frame,timestamp_sec,pelvis_x,pelvis_y,pelvis_z,abdomen_x,abdomen_y,abdomen_z,chest_x,chest_y,chest_z,neck_x,neck_y,neck_z,head_x,head_y,head_z,r_shoulder_x,r_shoulder_y,r_shoulder_z,r_upper_arm_x,r_upper_arm_y,r_upper_arm_z,r_forearm_x,r_forearm_y,r_forearm_z,r_wrist_x,r_wrist_y,r_wrist_z,l_shoulder_x,l_shoulder_y,l_shoulder_z,l_upper_arm_x,l_upper_arm_y,l_upper_arm_z,l_forearm_x,l_forearm_y,l_forearm_z,l_wrist_x,l_wrist_y,l_wrist_z,r_thigh_x,r_thigh_y,r_thigh_z,r_shin_x,r_shin_y,r_shin_z,r_foot_x,r_foot_y,r_foot_z,l_thigh_x,l_thigh_y,l_thigh_z,l_shin_x,l_shin_y,l_shin_z,l_foot_x,l_foot_y,l_foot_z
0,1778918820.5049188,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,1778918821.2728136,0.0,0.0,0.0,0.0,-0.017,0.061,0.0024077745479056476,-0.04087549098045217,0.19030954885449264,0.001596488692587516,-0.05999157787245969,0.2722541462187984,0.0013393469328728562,-0.063371230917523,0.29196484948911317,-0.07500230990645321,-0.05717881890542405,0.2372381150305422,-0.10890551770341651,-0.03999844214136805,0.20086153744745355,-0.11828562807825031,-0.0482853371905541,0.0893653339255411,-0.10435017666783145,-0.09759769474497272,-0.01914316613972125,0.07896208546046493,-0.04934489884518352,0.24058992883639058,0.11462468951295401,-0.0245812335345669,0.20866384848349687,0.13817642486837795,-0.018780678581126132,0.09912056103976445,0.135118924667706,-0.10182871371242402,0.012554542572044594,-0.06654035021732241,-0.004999999999999914,-0.024000000000000018,-0.06654035021732241,-0.004999999999999255,-0.20600000000000002,-0.06654035021732241,-0.004999999999998644,-0.386,0.0665403502173223,-0.004999999999999914,-0.024000000000000018,0.0665403502173223,-0.004999999999999255,-0.20600000000000002,0.0665403502173223,-0.004999999999998644,-0.386
2,1778918821.306222,0.0,0.0,0.0,0.0,-0.017,0.061,-0.00062546019465518,-0.03891316100963559,0.19067736135075503,-0.0029229422369467387,-0.05504332014025218,0.27323364241213965,-0.003530248858294008,-0.057705230664142015,0.2930464012061711,-0.07890663712410784,-0.0530881520924983,0.23684593254740893,-0.11461285146652112,-0.03348019586681694,0.20167469620272133,-0.13134924752138488,-0.03518758805860816,0.09074660977282678,-0.13224446508794419,-0.08144433758675838,-0.019976069514654818,0.07502431285584849,-0.045967938434668995,0.2425208947265825,0.11723654910238762,-0.023500400763910967,0.21168223550165238,0.15986981853301868,-0.024503869877321966,0.10790622725603889,0.13884983748195806,-0.13107093442641016,0.05690013791365242,-0.06654035021732241,-0.004999999999999914,-0.024000000000000018,-0.06654035021732241,-0.004999999999999255,-0.20600000000000002,-0.06654035021732241,-0.004999999999998644,-0.386,0.0665403502173223,-0.004999999999999914,-0.024000000000000018,0.0665403502173223,-0.004999999999999255,-0.20600000000000002,0.0665403502173223,-0.004999999999998644,-0.386
3,1778918821.3396196,0.0,0.0,0.0,0.0,-0.017,0.061,-0.0037514236166932688,-0.03590371473033804,0.19109754902774195,-0.007561184215482287,-0.0476976207183305,0.2743284898233759,-0.008523485781893185,-0.049320214713669056,0.29423932015316295,-0.08289928512897522,-0.04721072767542191,0.23657476833908908,-0.12224457897456245,-0.026972338458046877,0.20231443609959643,-0.15025373364450045,-0.026845365031833393,0.09367036754348737,-0.16122765648058027,-0.07131622906725414,-0.01724363188639022,0.07095597963175317,-0.04067608969405985,0.24454320682217526,0.1190887804462975,-0.026284713946897423,0.21298808703466948,0.17849856767614708,-0.05097628101085619,0.12107037276135854,0.12866124937331375,-0.16008564674175163,0.12444498595160494,-0.06654035021732241,-0.004999999999999914,-0.024000000000000018,-0.06654035021732241,-0.004999999999999255,-0.20600000000000002,-0.06654035021732241,-0.004999999999998644,-0.386,0.0665403502173223,-0.004999999999999914,-0.024000000000000018,0.0665403502173223,-0.004999999999999255,-0.20600000000000002,0.0665403502173223,-0.004999999999998644,-0.386
4,1778918821.37301,0.0,0.0,0.0,0.0,-0.017,0.061,-0.00712790165662585,-0.03258991158236807,0.19139533560527017,-0.012432743052695644,-0.04018547214214277,0.2750324452967543,-0.013740781853095628,-0.040804797971818754,0.2949800133192812,-0.08712661645336517,-0.04089538474207244,0.23602307077593956,-0.1324600026344037,-0.013334161574534514,0.21068053070985487,-0.17901675399118042,0.013569356657256119,0.11220854428805577,-0.18878467950200922,-0.04127261714295766,0.005921454098740793,0.06663289364308995,-0.035372094891260655,0.2462771589422289,0.11701358275629509,-0.035703450421013305,0.21399307048620875,0.18077555777209325,-0.09563534819935388,0.14377454963329367,0.10561237779709635,-0.161001102668758,0.2106910238283064,-0.06654035021732241,-0.004999999999999914,-0.024000000000000018,-0.06654035021732241,-0.004999999999999255,-0.20600000000000002,-0.06654035021732241,-0.004999999999998644,-0.386,0.0665403502173223,-0.004999999999999914,-0.024000000000000018,0.0665403502173223,-0.004999999999999255,-0.20600000000000002,0.0665403502173223,-0.004999999999998644,-0.386
5,1778918821.4063935,0.0,0.0,0.0,0.0,-0.017,0.061,-0.010453250747917031,-0.03014432536644733,0.19144060768121926,-0.017200947425346565,-0.03465104272026534,0.2751971482511485,-0.018840911626909485,-0.03453410200425461,0.2951294547480527,-0.09125100518829055,-0.036055767626381824,0.23499732619628394,-0.13930970572071544,-0.004592191979125249,0.21771102317115387,-0.19408545406607675,0.04171787502231756,0.1314378663520856,-0.1886493921000857,-0.025394069583622343,0.032107930675517475,0.06236892743525759,-0.03164476890416017,0.24761078690336624,0.11383177469669495,-0.0463497079526175,0.22029117503008547,0.17849144277534962,-0.1305443826129597,0.18398075527490584,0.09840880949913229,-0.14053312638134952,0.27278952086409947,-0.06654035021732241,-0.004999999999999914,-0.024000000000000018,-0.06654035021732241,-0.004999999999999255,-0.20600000000000002,-0.06654035021732241,-0.004999999999998644,-0.386,0.0665403502173223,-0.004999999999999914,-0.024000000000000018,0.0665403502173223,-0.004999999999999255,-0.20600000000000002,0.0665403502173223,-0.004999999999998644,-0.386
6,1778918821.4397783,0.0,0.0,0.0,0.0,-0.017,0.061,-0.012559647661853284,-0.02902401213418835,0.19136285611933562,-0.020011773131833367,-0.032589319097460656,0.2751050462760143,-0.021804948175997235,-0.03224807988176462,0.29502157406221874,-0.09375898611172247,-0.033514302360297815,0.23433860194170505,-0.14173507368939303,-0.00040474490272573993,0.22000360924447074,-0.19602970229728817,0.05428029494100206,0.13845790290979826,-0.1804166636417007,-0.011565769768040893,0.039359321758140706,0.05980055111200983,-0.030825144500311916,0.24811818675538005,0.1107675774088838,-0.052535706733924964,0.22518834458995418,0.17339510675704478,-0.1441801059715645,0.20884334057902249,0.10193942714863324,-0.12417642870893164,0.3031510218551119,-0.06654035021732241,-0.004999999999999914,-0.024000000000000018,-0.06654035021732241,-0.004999999999999255,-0.20600000000000002,-0.06654035021732241,-0.004999999999998644,-0.386,0.0665403502173223,-0.004999999999999914,-0.024000000000000018,0.0665403502173223,-0.004999999999999255,-0.20600000000000002,0.0665403502173223,-0.004999999999998644,-0.386
7,1778918821.473167,0.0,0.0,0.0,0.0,-0.017,0.061,-0.012139068745655526,-0.02977542655668885,0.19133122173549402,-0.020263288594000516,-0.03481299558968033,0.2749351687122583,-0.02220388534755812,-0.03482195705189012,0.29484079615608105,-0.09370466243707655,-0.03420166675652704,0.23361446100898586,-0.14111062568883026,-0.0013814206487908487,0.21661088519318691,-0.19328079156976083,0.048801958599220124,0.13089061489959475,-0.16117956084214358,-0.022405130713884613,0.03979143039540829,0.05976559960453279,-0.033393883094636256,0.2485766184214496,0.10992740462213021,-0.053006263059896655,0.22329008624734897,0.1706469587780376,-0.1434810349822459,0.19654099488508545,0.107846340397917,-0.123612283531739,0.2968471016128039,-0.06654035021732241,-0.004999999999999914,-0.024000000000000018,-0.06654035021732241,-0.004999999999999255,-0.20600000000000002,-0.06654035021732241,-0.004999999999998644,-0.386,0.0665403502173223,-0.004999999999999914,-0.024000000000000018,0.0665403502173223,-0.004999999999999255,-0.20600000000000002,0.0665403502173223,-0.004999999999998644,-0.386
8,1778918821.506556,0.0,0.0,0.0,0.0,-0.017,0.061,-0.00898542488008865,-0.03267106616102323,0.1912707783729134,-0.017127729918886364,-0.041718477641087826,0.2745344992492085,-0.019059590051164914,-0.042683598424421376,0.2944175688890525,-0.09057608901471975,-0.038277031743447223,0.23336527535242974,-0.1366126683250764,-0.00743648505979172,0.2104455810023582,-0.18514591742264397,0.029221803786086825,0.11616538111433505,-0.1358443109740085,-0.05159609428589079,0.042423812424678686,0.06290035061998542,-0.03988095119936885,0.2481993550149374,0.11012967696581852,-0.04791238219279967,0.2157620436452522,0.16398219688029247,-0.1222245503705742,0.15122003980605186,0.11689324015619557,-0.13154537443825157,0.2612007308083162,-0.06654035021732241,-0.004999999999999914,-0.024000000000000018,-0.06654035021732241,-0.004999999999999255,-0.20600000000000002,-0.06654035021732241,-0.004999999999998644,-0.386,0.0665403502173223,-0.004999999999999914,-0.024000000000000018,0.0665403502173223,-0.004999999999999255,-0.20600000000000002,0.0665403502173223,-0.004999999999998644,-0.386
9,1778918821.5399415,0.0,0.0,0.0,0.0,-0.017,0.061,-0.004920854727819314,-0.03595169251117459,0.19105158366007388,-0.01314781145199476,-0.04938622455187258,0.2737125208184802,-0.015082998396727419,-0.051401027601895424,0.29351645023055783,-0.08656115260421152,-0.04268311388052569,0.23288410365352163,-0.12865112613851915,-0.013643542128231989,0.2043252033425265,-0.16694223556335033,0.011352670391282092,0.10187012636390683,-0.11307324819154284,-0.08549148602597968,0.055833819307790994,0.06688483393483251,-0.047250061160901094,0.24741380453130285,0.10911480085220701,-0.040255266760694935,0.21267616598254452,0.14938884176791428,-0.08039490973984376,0.1159555725712838,0.12255473401388524,-0.14047036861343792,0.21630929647913016,-0.06654035021732241,-0.004999999999999914,-0.024000000000000018,-0.06654035021732241,-0.004999999999999255,-0.20600000000000002,-0.06654035021732241,-0.004999999999998644,-0.386,0.0665403502173223,-0.004999999999999914,-0.024000000000000018,0.0665403502173223,-0.004999999999999255,-0.20600000000000002,0.0665403502173223,-0.004999999999998644,-0.386
