frame,timestamp_sec,pelvis_x,pelvis_y,pelvis_z,abdomen_x,abdomen_y,abdomen_z,chest_x,chest_y,chest_z,neck_x,neck_y,neck_z,head_x,head_y,head_z,r_shoulder_x,r_shoulder_y,r_shoulder_z,r_upper_arm_x,r_upper_arm_y,r_upper_arm_z,r_forearm_x,r_forearm_y,r_forearm_z,r_wrist_x,r_wrist_y,r_wrist_z,l_shoulder_x,l_shoulder_y,l_shoulder_z,l_upper_arm_x,l_upper_arm_y,l_upper_arm_z,l_forearm_x,l_forearm_y,l_forearm_z,l_wrist_x,l_wrist_y,l_wrist_z,r_thigh_x,r_thigh_y,r_thigh_z,r_shin_x,r_shin_y,r_shin_z,r_foot_x,r_foot_y,r_foot_z,l_thigh_x,l_thigh_y,l_thigh_z,l_shin_x,l_shin_y,l_shin_z,l_foot_x,l_foot_y,l_foot_z
0,1778921650.0583348,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,1778921650.826442,0.0,0.0,0.0,0.0,-0.017,0.061,0.0021353413484064515,-0.03214053418252247,0.19162542024727525,0.0005410243007623757,-0.04334318461719107,0.2750098239232039,0.0001710948781078622,-0.044823324303773296,0.29495154748789243,-0.07590623921795708,-0.039099531457430045,0.23980730542865455,-0.10680436846265356,-0.013017496540990728,0.2079360930998384,-0.11407376313427509,0.001117251803828899,0.09687112431878293,-0.1173427360823613,-0.03166198193105869,-0.018518804408200334,0.07826229324550543,-0.040559937342163246,0.24255881641611732,0.10964986319773087,-0.015880553551817223,0.2110510238540172,0.11750827820556049,-0.004737698084681554,0.09968610754011137,0.12005158383084079,-0.040471008187624655,-0.014841889672724373,-0.06654035021732241,-0.004999999999999914,-0.024000000000000018,-0.06654035021732241,-0.004999999999999255,-0.20600000000000002,-0.06654035021732241,-0.004999999999998644,-0.386,0.0665403502173223,-0.004999999999999914,-0.024000000000000018,0.0665403502173223,-0.004999999999999255,-0.20600000000000002,0.0665403502173223,-0.004999999999998644,-0.386
2,1778921650.8598278,0.0,0.0,0.0,0.0,-0.017,0.061,0.0016729417513859277,-0.028441865964948562,0.1920079419039939,-0.00025642110751061386,-0.037283328814984404,0.2756686022745059,-0.0007024359115955487,-0.038199301169541205,0.2956426370556967,-0.07656294714193557,-0.03378416054289135,0.240080965292526,-0.1068763900926208,-0.005808679825488647,0.20964168117689952,-0.11263780443371321,0.014861349925563143,0.09951621420907733,-0.11571437875190496,-0.011155929646987597,-0.017589019893025803,0.07758899553349925,-0.03567043949722544,0.24343663528463266,0.10874236347816466,-0.009160928265707122,0.21360161591287607,0.11595382710959518,0.008747235727451862,0.10307851898428531,0.11833723986823272,-0.020001025024745295,-0.01340262475729051,-0.06654035021732241,-0.004999999999999914,-0.024000000000000018,-0.06654035021732241,-0.004999999999999255,-0.20600000000000002,-0.06654035021732241,-0.004999999999998644,-0.386,0.0665403502173223,-0.004999999999999914,-0.024000000000000018,0.0665403502173223,-0.004999999999999255,-0.20600000000000002,0.0665403502173223,-0.004999999999998644,-0.386
3,1778921650.8932161,0.0,0.0,0.0,0.0,-0.017,0.061,0.0014789593217713918,-0.026370488156496077,0.19217470222499888,-0.0004684395316448178,-0.034039537286499846,0.27595055389567613,-0.0009191236419865064,-0.03467570798390683,0.29593535238543933,-0.07676720789133232,-0.031062773797712773,0.24029881023668315,-0.10668140937321631,-0.0027079534090469065,0.21019701255160894,-0.11155317752294586,0.01941430293329091,0.10031100730335549,-0.1156843206999216,-0.005141061781284262,-0.017077099929811684,0.0773844650391971,-0.03285446752374546,0.24371810348400536,0.10810159848699459,-0.005967542428887168,0.2141793013734515,0.11443390499068372,0.013207339346600417,0.10381495793210532,0.11792985599097132,-0.014383464440505374,-0.012917753305940693,-0.06654035021732241,-0.004999999999999914,-0.024000000000000018,-0.06654035021732241,-0.004999999999999255,-0.20600000000000002,-0.06654035021732241,-0.004999999999998644,-0.386,0.0665403502173223,-0.004999999999999914,-0.024000000000000018,0.0665403502173223,-0.004999999999999255,-0.20600000000000002,0.0665403502173223,-0.004999999999998644,-0.386
4,1778921650.9266038,0.0,0.0,0.0,0.0,-0.017,0.061,0.0014980548828205432,-0.02552597280364164,0.19223208255645124,-0.0004775853716047331,-0.033377937543394645,0.27599032689878905,-0.0009324671174869427,-0.03405777810866252,0.2959735923827653,-0.07676477037808824,-0.030159173651392063,0.24033482293665065,-0.1063900172925668,-0.0016782268018645657,0.2102776227152932,-0.11090300022593,0.02068159247162768,0.1004243844057198,-0.11666340200560421,-0.0036227833410573257,-0.01694731187448431,0.0773822523395665,-0.032286589767235405,0.24377131649155317,0.10815871527151572,-0.005325098718546459,0.21436401715046746,0.11456761461860387,0.014352797996628468,0.10409267504370884,0.11814862249754193,-0.012705728650044774,-0.012761989040709548,-0.06654035021732241,-0.004999999999999914,-0.024000000000000018,-0.06654035021732241,-0.004999999999999255,-0.20600000000000002,-0.06654035021732241,-0.004999999999998644,-0.386,0.0665403502173223,-0.004999999999999914,-0.024000000000000018,0.0665403502173223,-0.004999999999999255,-0.20600000000000002,0.0665403502173223,-0.004999999999998644,-0.386
5,1778921650.9599895,0.0,0.0,0.0,0.0,-0.017,0.061,0.0016284377293384275,-0.024908603335147515,0.19226918167122306,-0.00032431570357363895,-0.03304202288018228,0.2760011005584353,-0.0007754122461925582,-0.03378899834201474,0.29598205497929964,-0.07662099304112091,-0.029811735745351967,0.24036695580544987,-0.10632630987317264,-0.0018220759262419922,0.20989197926357267,-0.11103923611498463,0.018854539842074934,0.09971789707266618,-0.11700384508663159,-0.007242761610656345,-0.017257973501998175,0.07752934906044316,-0.031734144402647074,0.2437752361526494,0.10843627659954494,-0.005017636147971377,0.21411821089730984,0.11522547772002618,0.01363229368409771,0.10369108847983242,0.11879919249356286,-0.014484512653942669,-0.01291368742607342,-0.06654035021732241,-0.004999999999999914,-0.024000000000000018,-0.06654035021732241,-0.004999999999999255,-0.20600000000000002,-0.06654035021732241,-0.004999999999998644,-0.386,0.0665403502173223,-0.004999999999999914,-0.024000000000000018,0.0665403502173223,-0.004999999999999255,-0.20600000000000002,0.0665403502173223,-0.004999999999998644,-0.386
6,1778921650.9933681,0.0,0.0,0.0,0.0,-0.017,0.061,0.0018536813651397607,-0.023995645196846667,0.19231801356424788,0.00014500448046220627,-0.032509214763090405,0.27601747327901843,-0.0002481428376896295,-0.03334691390148402,0.2959960541930813,-0.0762551638550657,-0.029137193484791296,0.24061897400572063,-0.10681179823270404,-0.005018956797708626,0.20711010804252794,-0.11309132447984173,0.002045627821387154,0.09531242607071266,-0.11466174074320096,-0.03791802840810883,-0.017826603329094456,0.07790485695708252,-0.031034965696855002,0.2435730294942196,0.1093248619377379,-0.008051688893025155,0.21090974956757347,0.11677349657088398,-0.002391607332986951,0.09910391868726742,0.11745392281901425,-0.043517920459190326,-0.013626571370952079,-0.06654035021732241,-0.004999999999999914,-0.024000000000000018,-0.06654035021732241,-0.004999999999999255,-0.20600000000000002,-0.06654035021732241,-0.004999999999998644,-0.386,0.0665403502173223,-0.004999999999999914,-0.024000000000000018,0.0665403502173223,-0.004999999999999255,-0.20600000000000002,0.0665403502173223,-0.004999999999998644,-0.386
7,1778921651.0267541,0.0,0.0,0.0,0.0,-0.017,0.061,0.0021597701746752275,-0.022150343706256348,0.1923986500131703,0.0006619084733200052,-0.030142594619085625,0.2761535324718664,0.00031872818726152085,-0.0308558771075937,0.29613786271790776,-0.07582710884416803,-0.027012662204027205,0.24092508157089504,-0.1072813491213884,-0.014510185393666539,0.20173293086403196,-0.11499657453197587,-0.04278015029500416,0.0934308215524356,-0.10826760136107327,-0.12028162886361587,0.0020621084185389812,0.07834034056337091,-0.02884878078877852,0.24350698236616797,0.11076285556009477,-0.016630739975449282,0.20548023249109543,0.11941450601755207,-0.04372039715160863,0.09694746362178053,0.10893056906512902,-0.1253742926220921,0.009639225634331894,-0.06654035021732241,-0.004999999999999914,-0.024000000000000018,-0.06654035021732241,-0.004999999999999255,-0.20600000000000002,-0.06654035021732241,-0.004999999999998644,-0.386,0.0665403502173223,-0.004999999999999914,-0.024000000000000018,0.0665403502173223,-0.004999999999999255,-0.20600000000000002,0.0665403502173223,-0.004999999999998644,-0.386
8,1778921651.0601397,0.0,0.0,0.0,0.0,-0.017,0.061,0.002406120918970086,-0.019142341671958496,0.19247781876448777,0.001254671572902633,-0.025542850611411816,0.27637482496685123,0.000996535725964961,-0.02587658212977434,0.29637037420057255,-0.07537963893824347,-0.022921753930250394,0.2414216805493712,-0.10821955221562338,-0.026087277840265974,0.20076361722015498,-0.11852681610360119,-0.09307063194521649,0.11134855649773306,-0.0962012406460966,-0.20257354281159518,0.06763721709614103,0.07879355547920872,-0.025029725505208433,0.24337682222138513,0.11219973468969385,-0.028940203857786298,0.2035026610663923,0.1217254384143221,-0.09579133971974545,0.11390216384390761,0.09452067158434593,-0.20460008757954878,0.07123417759064783,-0.06654035021732241,-0.004999999999999914,-0.024000000000000018,-0.06654035021732241,-0.004999999999999255,-0.20600000000000002,-0.06654035021732241,-0.004999999999998644,-0.386,0.0665403502173223,-0.004999999999999914,-0.024000000000000018,0.0665403502173223,-0.004999999999999255,-0.20600000000000002,0.0665403502173223,-0.004999999999998644,-0.386
9,1778921651.0935416,0.0,0.0,0.0,0.0,-0.017,0.061,0.0025038740499673034,-0.01695014668970142,0.1924934371068494,0.0014103177853898963,-0.02608726433982017,0.2761374280191923,0.001160901920498496,-0.02707379883783198,0.29611152478001146,-0.07524721320083767,-0.022655332045812535,0.24130562094828534,-0.10618890033767787,-0.0397734980578732,0.20426069254362245,-0.10888874801391984,-0.13332943726911928,0.1423893780204387,-0.08284122403029859,-0.24658400732926428,0.11247401650140681,0.0789342665650618,-0.02416751023720004,0.24315619229655294,0.10895771628820955,-0.04178057460684832,0.20671144293946617,0.10649482172335756,-0.13491451436925514,0.144196917309859,0.07288596570880487,-0.24568717676801555,0.11257632176702784,-0.06654035021732241,-0.004999999999999914,-0.024000000000000018,-0.06654035021732241,-0.004999999999999255,-0.20600000000000002,-0.06654035021732241,-0.004999999999998644,-0.386,0.0665403502173223,-0.004999999999999914,-0.024000000000000018,0.0665403502173223,-0.004999999999999255,-0.20600000000000002,0.0665403502173223,-0.004999999999998644,-0.386
