J17_X,J17_Z-105,J17_Y,-J19_Y+90,-J21_X,-J21_Y,J21_Z,J16_X,J16_Z+105,J16_Y,J18_Y+90,J20_X,J20_Y,J20_Z
-179.04080460704236,-5.69476028623185,-162.75904799340586,61.7830379571124,1.993245252618524,-3.0003506004799343,2.6534590492657584,-177.35630691721673,6.238043990830875,161.9536953650911,61.92523559166194,-2.0039613531197658,-3.0709143974981044,-2.753255860105079
178.4969056749394,-7.063876152148985,-164.02029038614953,66.16274728894952,-1.4664037246952768,-2.854159577164631,0.8912935536172873,-179.78189896889683,7.575787397495057,163.16068749438227,66.23853230184551,1.4841076884024638,-2.8768180369267737,-1.0949788970396548
178.68755423704,-7.859585895871717,-163.93694595945965,68.42149951797595,-2.6979747520788906,-2.573631517389722,1.0813867579123808,-179.62944331636407,8.562744551386531,162.88901004298015,68.60267215120861,2.7439240205929645,-2.564789321808559,-1.3067670570838654
178.9878637912867,-7.683285467472233,-163.62054757620385,69.72350952614278,-3.46167567306489,-2.3174928857737944,1.4134189655597087,-179.37403146953108,8.433165394619403,162.4926020061007,69.78932383570805,3.5146047065012174,-2.3385477839787017,-1.67216570735563
178.8629738761222,-8.049907489547488,-163.55813063893504,71.05782199549452,-3.849530088752141,-2.1239913232594154,1.6528199018920435,-179.4380837572938,8.80892673379656,162.30952621514058,71.18284517728817,3.96539808709189,-2.1185195720761336,-1.9271683439696643
179.20489539498314,-8.037740635259874,-163.16302869007671,71.42231966689114,-4.021702887007011,-2.0542921727204533,1.7378630878343533,-179.05673391886614,8.793862295696808,161.81465581622626,71.49671785789747,4.194056079808139,-2.0382528320621462,-2.0102099158371587
179.74964173954908,-8.039074887711143,-162.746458484036,72.08959843136489,-4.17532089676586,-1.9612254887870346,1.7252010166263831,-178.5353305470016,8.764651619557265,161.366063376039,72.14605184580503,4.381859225281461,-1.9425031116331875,-2.021571007249401
-179.47475086960833,-7.88084015987443,-162.24688922398138,72.27158670543703,-4.250575605616223,-1.900914134059779,1.5925902352818857,-177.8907021752574,8.624212416756336,160.88004151849114,72.34499590881661,4.469315334259936,-1.8696259347317308,-1.9117075774904693
-178.4654444173891,-7.539799331367218,-161.53834463795997,72.05639932293825,-4.307142797398243,-1.8683407268739918,1.3989854784740743,-177.111668952781,8.279613448246083,160.2804415621245,72.15610879880803,4.485316571236634,-1.8397372024089003,-1.7218419387919692
-177.3122689747593,-7.152867614077722,-160.66308733561948,71.55727589683345,-4.266752802577072,-1.8683324162135362,1.1453508431756554,-176.11553158391519,7.781847367027028,159.50372665772994,71.63221313377085,4.4588839665453674,-1.817909482166393,-1.4594365962229938
