theta1,theta2,theta3,theta4,theta5,theta6,theta7,theta8,theta9,theta10,theta11,theta12,theta13,theta14,frame
1.787844718716287,-8.9099492071957,23.464951236348814,45.83423287727046,-0.8043319800076266,0.20848291148719236,1.641387686575291,2.6647353792440494,8.436830782583803,-28.67700414466213,40.93038327950458,0.408725961719887,-0.22426903280430088,-2.0413848441132805,0
3.1369311853733692,-8.26347556235108,22.217521364092928,48.93541744781795,-5.2758207126260865,0.13277316674656114,-0.3916670901291997,3.896175468830719,8.3427715309252,-30.199545992668753,43.25082108015886,5.385269039347284,-0.1965717834463573,-0.23321688519464434,1
2.9992148590214702,-8.112711009455868,23.17668628924998,50.249513767094854,-6.269866481073708,0.13513414827981268,-0.5142252103076366,4.102688872828241,7.238829103631942,-28.143187720413096,45.54381336044658,6.36677477397156,-0.1641502786626193,-0.08981634315528651,2
2.5109305701569133,-8.409447138244728,23.269588310796497,50.65380748984795,-7.108593450255303,0.052435768174672555,-0.4287651026314743,3.7813372949109825,7.500709695503988,-28.259747619051616,46.004519660007695,7.192398149508448,-0.20606137512924652,-0.17065041278568563,3
2.2692833669994763,-8.502280524977255,23.38773035347099,50.92529990741953,-7.602739013923048,-0.006429433750410534,-0.36287597207029415,3.513655143296351,7.606418350241365,-28.35329918814068,46.323985146707095,7.675688633358125,-0.2384572335378796,-0.21780952388055955,4
2.152164331443097,-8.572466969741797,23.591555282844897,51.25179412003415,-7.9860033132339625,-0.046321036404187936,-0.23556328106015004,3.3692696673882696,7.679062207105171,-28.521012774306115,46.693408842601585,8.022045185842067,-0.2461844171486871,-0.32555176603674413,5
1.9026460968857324,-8.579613490541153,23.47009412405934,51.18518021447061,-8.200448319906855,-0.1191023958258355,-0.12309640528680096,3.2370500648923355,7.7566363467445285,-28.509488616598247,46.76384628225619,8.224576842312482,-0.3019823778268121,-0.4171023568673326,6
1.6774308594586662,-8.615045978521094,23.3562259476806,51.12934629304376,-8.33640195893986,-0.19149627330235422,-0.036074662665824625,3.0667124267286487,7.852141284609719,-28.44935363943991,46.778804420394785,8.355313433783614,-0.3593496914040641,-0.4853259472495418,7
1.4461391347521233,-8.605240564259983,23.206582656845995,51.013990375755114,-8.451231431724699,-0.25621659970108723,0.04095999338245896,2.9435514773926914,7.8815954386469995,-28.341688396537055,46.668144053991206,8.431824837567278,-0.4115571944812614,-0.5622146233213747,8
1.3299429623364865,-8.542642042755489,23.125989943660507,50.92878153791075,-8.546510573986573,-0.3047746260884012,0.15038823621562386,2.930178041567618,7.951458575131486,-28.31932661692968,46.66776476673603,8.516450721998728,-0.45876203857590436,-0.658825730048142,9
1.0864740258532242,-8.511977795928347,22.830238334931106,50.61837846652769,-8.58258532482338,-0.3842817394319505,0.21256076811230432,2.7924680743360324,8.022831598584881,-28.209657752224558,46.57815814039254,8.5539900102364,-0.49626648979403515,-0.6891592484953919,10
0.8538380958130062,-8.501819975391442,22.53341275169769,50.305684741918775,-8.607832671423425,-0.4396116394555306,0.25211565838684297,2.6389259127393303,8.142925053303664,-28.06444323407105,46.45857259583778,8.587381174609545,-0.5278095879382482,-0.7420926559119622,11
0.6169698921432729,-8.45641882913904,22.30684278631536,50.07153283447327,-8.627926070849828,-0.4759549505204605,0.2979515759470403,2.480793448021388,8.276721891494228,-27.95542194827622,46.40636491400833,8.66198675142475,-0.5362599523914218,-0.7725889350759488,12
0.3844003425245064,-8.473845303988009,21.999369293313414,49.747134024272036,-8.647155783738233,-0.5293945449758322,0.323521017123184,2.4207535587979,8.401119249198892,-27.81940450322258,46.264376671039045,8.689848425598383,-0.5712767371656161,-0.8139173855615762,13
0.3440125697418734,-8.565657338226986,21.799315554635182,49.52400450785435,-8.687322779070335,-0.5639110803963918,0.4051822440258652,2.4577050907966815,8.58012878050279,-27.69438787213274,46.12365252898571,8.743094800769596,-0.5854242486237294,-0.9009161978144303,14
0.05494755096865712,-8.61464189333505,21.530776442738013,49.28045588143635,-8.69930866966797,-0.5912549180972586,0.40376359248148347,2.3696302671011606,8.714346442826951,-27.560005090182063,46.000718381243345,8.784628633654112,-0.6130148083842908,-0.9131150580847724,15
-0.17511285209469313,-8.670467010819703,21.378114826426692,49.17689419453714,-8.74996377925628,-0.5930079008837763,0.41114285995204686,2.248660120533045,8.835177645209715,-27.428133789868994,45.89000865185506,8.835539655539439,-0.621676674425143,-0.9416296713237239,16
-0.33812056963372566,-8.754635102289667,21.233955820198958,49.07115965146607,-8.777435415994027,-0.580873358887957,0.40659218904884253,2.0678770328240006,8.997886914413533,-27.22253308527535,45.70227699878988,8.85986510809748,-0.6349840940792798,-0.9439592319551117,17
-0.5908780586050159,-8.817193651253575,20.979688700020905,48.835953400578724,-8.78437113240802,-0.5877497341244553,0.35710403325538265,1.7740975178255851,9.094928688777143,-26.89100810466583,45.321643614632194,8.849578717487589,-0.6607686402591743,-0.8731208833866553,18
-0.7097014992871546,-8.82541660872604,20.895367297826432,48.76568096882904,-8.84713700870418,-0.5688620251647207,0.35021068101537084,1.5703763837632185,9.183612863437219,-26.697031204069077,45.12665704680229,8.907186480536916,-0.666133100850324,-0.8646553585042477,19
-0.8773935594173187,-8.842915061672118,20.60686569820472,48.42763214413043,-8.840153431430059,-0.5821082703287302,0.29759992216876807,1.3051589650149182,9.303132880564187,-26.272947731898615,44.58020838532681,8.877945436068634,-0.7097683304515964,-0.7982868712709003,20
-1.1480594987581816,-9.87845970365724,23.415267345382098,47.40916760314161,-8.854185104346334,-0.5728728503306298,0.25036720983162014,1.0298126948144881,9.375261058845853,-25.956314621319734,44.19323568249531,8.883028043000373,-0.732017313192633,-0.7353920525051333,21
-1.4252403493205792,-9.926953269174136,23.164837260586864,47.16438190896415,-8.871623173475207,-0.5692764244706091,0.15210220784563366,0.6915051180917166,9.431231266260845,-25.519122932161654,43.60948333950828,8.840815763563846,-0.7651740939444042,-0.6422852534675654,22
-1.7140402751564223,-9.954981161968703,22.72115393967468,46.61730244771045,-8.820956129292993,-0.5972893927278885,0.03144599115450468,0.4019781226159514,9.468302355679663,-24.97252281483333,42.78323828205267,8.736764246795598,-0.8328854323455911,-0.49549714093154895,23
-2.0185002722067793,-10.00909983138385,22.379562526704223,46.23813871600642,-8.820844188973883,-0.5970435433386351,-0.1304807021534906,0.05646402332824354,9.521878128782912,-24.37072164798943,41.86946665098632,8.60480936392027,-0.9013065499055829,-0.34795490266133555,24
-2.8890411997124863,-9.964891872460615,21.777640848225257,45.62979190497024,-8.73297013443541,-0.6207664815875042,-0.4380654167958219,-1.0271948665111035,10.583306604755002,-26.731535244048253,40.25915772230189,8.476493235187544,-0.9355212251838994,-0.017338512227799543,25
-3.4655304046097153,-9.945585971961718,21.423455839142477,45.29524572709369,-8.78201650501231,-0.5957785699413649,-0.6058912567619877,-1.5868962342823867,10.57761133410444,-26.28543869093977,39.64645589550216,8.416826497083287,-0.9215184557576631,0.16849505677811935,26
-4.136372027866454,-9.919488336141438,20.917207515275386,44.74371612916126,-8.691259231162102,-0.5712827558518057,-0.802914790443654,-2.259078290942049,10.552502231048623,-25.672782638703392,38.72259906602112,8.30024620249409,-0.9570319845570313,0.40941754727916346,27
-4.765604675660024,-9.85711410514641,20.427470879510366,44.16977524033035,-8.641382682119788,-0.5669987192217207,-1.0145076773635717,-2.842798552487644,10.512029934278862,-25.133590996079626,37.87024943285369,8.162962398732066,-0.9535139830142794,0.6193042528818773,28
-5.793722912974987,-9.689186047996563,19.784637735449532,43.43652382151538,-8.478786793088819,-0.5542146918658436,-1.3043217791410826,-3.7461644720965053,10.38575987037661,-24.396817078031003,36.673480197506166,7.931612895282509,-1.0282509256884185,0.9473825109017452,29
-7.142383250269668,-10.490868162475678,22.206642004993316,41.88060867582922,-8.270228189230513,-0.5382826645915619,-1.6450125828837756,-4.890651807610862,10.157701731250551,-23.789053341060118,35.77825059873337,7.720406196523053,-0.9772561372179885,1.3113967837325373,30
-7.774741622028516,-10.424650388163942,21.443791193020278,40.71015123220598,-8.037831728970252,-0.5794549668714033,-1.812822596223881,-5.19943146644983,10.094133029519345,-23.256824986307706,34.67623939415304,7.522059713086777,-1.011614795854444,1.445546806334341,31
-8.701998737205432,-10.188034441236244,20.90640121332856,39.96178319357341,-7.7929909769609775,-0.5518407421296144,-2.032831237848674,-5.919419201295131,9.888098254590037,-22.883815364440743,34.039809942911006,7.302230507319697,-0.9639768597129253,1.6008604557402382,32
-9.7469320347317,-10.070742869411859,20.459494839049906,39.50998580748025,-7.6131106217606135,-0.4809111226065254,-2.147479149249879,-6.947850026115037,11.10905251066725,-25.755420969956322,33.28583532771824,7.212408376640949,-0.8217912249484527,1.671241712388057,33
-10.928361059724487,-9.751004037199792,19.848584057870198,38.62967872753045,-7.264696347026002,-0.4603555022099924,-2.430352005004273,-7.984732070457003,10.95577422196078,-25.404116766833557,32.90370861627978,6.995002756884898,-0.7377020954787143,1.915950841295692,34
-12.271527410256645,-10.647343496374159,22.715516398488028,37.789502840406655,-7.112081531265851,-0.33192155360082676,-2.4979666493039048,-9.204673744151604,10.777161577943113,-25.327808622982243,33.28639981655236,6.963032241226805,-0.5392320371987456,2.0234680859242133,35
-12.710379914157848,-10.436389694668371,22.716534673864242,37.85265916377602,-7.008230498492894,-0.20919578635228353,-2.429706246239468,-9.66486027642312,10.68453279781821,-25.277096282511888,33.35042934174389,6.921236213284853,-0.4232062073597656,1.9712911873110934,36
-13.625032085948806,-10.299893667428002,22.540893810835577,37.83254876691369,-6.888212892388119,-0.10545982596837392,-2.5027158038679653,-10.693851675441019,10.459681830924502,-25.106558013339864,33.330239418764194,6.768029000633122,-0.28375405971353196,2.0785143312440533,37
-14.241840602126791,-10.456075310523456,22.368494000404134,37.89097731493055,-6.820026519894548,-0.015823401726723585,-2.470573038813857,-11.13876835203534,10.565925845386412,-24.908362465671598,33.19700427748448,6.649722347723717,-0.20532409093560397,2.036303395796467,38
-15.321001218629576,-10.426146744849591,21.925472224462418,37.45171074575611,-6.570124212345267,0.03779424236722559,-2.6419739464596854,-12.189460657011637,10.56557609453326,-24.56027704102942,32.94342955748664,6.453118888759303,-0.12990660137805973,2.2355956743965364,39
-15.514102376995664,-10.660130700769804,21.383299448825134,36.552341729984576,-6.313640648696723,0.0013373915100417966,-2.649817540902431,-12.715299874678383,10.834484528575274,-23.944078305882993,31.950328061144482,6.195897878833744,-0.1812990366298483,2.2961250068866015,40
-16.41353178887498,-10.859301263606069,21.080077868257817,36.500094044402886,-6.1453265338448935,0.07616880003217819,-2.7910771235322853,-13.831822003603216,11.038250919235496,-23.504417615796516,31.688957265611403,5.987228824099072,-0.10785922810597283,2.4487183951689984,41
