theta1,theta2,theta3,theta4,theta5,theta6,theta7,theta8,theta9,theta10,theta11,theta12,theta13,theta14,theta15,theta16,theta17,theta18,theta19,theta20,theta21,frame
0.5913850457355312,-16.720258359496995,13.877862277093572,99.350955213358,63.4172458713908,0.4914017412141839,-2.0595802481034857,-2.113592866713692,-0.18055063458271867,17.694956778660874,-12.936333328670722,-97.06282712221402,-66.59599918053253,-1.6025362678042274,1.5890000107607507,-1.9944164998804026,-1.4582940784205878,8.108772283466868,-0.7296820198143772,0,0,0
-1.0263216203241583,-19.590238808523083,13.96073353252133,102.44980615873376,61.899568546712935,-4.946021357366647,-1.9382432936695886,0.3607198314475198,1.5301862762215857,20.92552951946808,-14.789863749661752,-96.89006368042146,-64.59019795983176,4.24851546270089,1.5691780616922248,0.4239730328345034,-1.4777328659076683,11.555079271856398,-0.6840017892914507,0,0,1
-1.0246687145450153,-19.774674387073894,14.434725773376586,106.52921790655361,60.61669912667919,-6.847694576480199,-2.0293207667073707,0.8289746704290637,1.6366704194859654,21.133083371489,-13.736503728686206,-104.20012275658165,-62.75408758398661,6.206605056215661,1.6899215061739443,0.8013029318329601,-1.1025646231637598,12.32020530378645,-0.6845637460269796,0,0,2
-1.2608485451944167,-18.398548854824618,16.96748573190574,114.23625950626779,60.22710533593722,-8.325700015263468,-1.9288614739324756,1.7809352255372903,1.8600255027516102,20.304367524672454,-17.914705552469318,-109.0438075260108,-62.21094689362429,7.782668053809784,1.6156519035652226,1.67926363159182,-1.0023808004068928,12.955060893894656,-0.5749657326082022,0,0,3
-1.664665337181438,-17.590269886783805,18.377064146047598,121.58825140608273,59.68111497224918,-9.599979291633703,-1.963199353179932,2.6702048811745858,2.2628395375911086,19.757340996405983,-19.459855057583376,-116.68985667403399,-61.380905740059035,9.201898035714695,1.6962913494734193,2.562666852340025,-0.8924599405812341,13.278411354352661,-0.516455819797018,0,0,4
-2.075088522921448,-17.744899932424882,20.28541217896608,125.75978716287018,59.041064910392365,-10.795051575299517,-2.0607801596260136,3.2371236683864213,2.7136522999360486,20.26381784180335,-21.497190711881693,-121.17606899333067,-60.42561241171102,10.523269650911002,1.8903783608304967,3.1306339893491724,-0.8566538837382172,13.363446612191826,-0.46025625725087266,0,0,5
-2.438536335592755,-17.740969698252314,22.29026365026156,129.9422750431028,58.628907161556015,-11.782276812739525,-2.100717231390996,3.627437990625234,3.0184676343378505,18.968623998838225,-22.59395879873993,-128.34358338186362,-60.03474456918696,11.571903041935792,1.957672329814499,3.5859679380338227,-0.934436576577288,13.252817679222792,-0.34741606530728186,0,0,6
-2.4262257733874533,-16.735224662436085,24.200053593454054,133.7271219679327,58.67105475814712,-12.512017740922252,-1.9722507532453157,3.97103704926779,3.069203346709763,19.204372597776935,-25.772816442624055,-129.4517311906692,-60.05309965924949,12.374779956582126,1.8806211863297784,3.929562735643868,-1.0862590952435938,13.112362282827911,-0.3410513540677215,0,0,7
-2.5070565799029114,-17.440400600682533,26.86821389250787,134.88972657232927,58.34554386295395,-13.575052922467734,-1.9573906404338222,3.935146200934254,3.2279945727419816,19.032145803860505,-27.186568305724435,-133.59695552135673,-59.56126114777709,13.382764326809482,1.922773683931663,3.9177150609817226,-1.1736281803016153,12.954514718052591,-0.31059090524279165,0,0,8
-2.401547446142551,-17.788130506958243,30.22758548905435,136.1241099971057,58.241900658843235,-14.365305351570093,-1.8328092892682688,4.117464462518209,3.1841829646411695,19.590586536768456,-30.514501798200097,-135.05101719526883,-59.44697609622629,14.22283875694269,1.8466814085752683,4.12172128146683,-1.2515990383598539,12.678139663358298,-0.3078467072274978,0,0,9
