theta1,theta2,theta3,theta4,theta5,theta6,theta7,theta8,theta9,theta10,theta11,theta12,theta13,theta14,frame
4.589178245779024,-7.365291716652767,24.024217637933145,50.54237111965959,1.993245252618524,-3.0003506004799343,2.6534590492657584,4.452598323495889,6.850809048979503,-22.898305737352835,48.834332759264434,-2.0039613531197658,-3.0709143974981044,-2.753255860105079,0
7.762727033514451,-6.6995078427770105,26.06106165344136,54.55715915306009,-1.4664037246952768,-2.854159577164631,0.8912935536172873,7.4788086367125395,6.596845944979106,-26.48849445942042,52.466182507116415,1.4841076884024638,-2.8768180369267737,-1.0949788970396548,1
8.084543130364898,-6.249733014546425,27.721839532566566,56.271248864856226,-2.6979747520788906,-2.573631517389722,1.0813867579123808,7.90962157773749,5.943522198599243,-28.303253858187826,54.304535255665805,2.7439240205929645,-2.564789321808559,-1.3067670570838654,2
7.947142688757269,-6.544237110052764,28.617923180839163,57.25417569051487,-3.46167567306489,-2.3174928857737944,1.4134189655597087,7.818595993098011,6.0453837322315,-28.682060133779817,55.35333662339166,3.5146047065012174,-2.3385477839787017,-1.67216570735563,3
8.35692071749193,-6.449577024591947,29.69742802515902,58.21901321810626,-3.849530088752141,-2.1239913232594154,1.6528199018920435,8.179485782106308,5.883657655067181,-29.758195125484587,56.42534328581478,3.96539808709189,-2.1185195720761336,-1.9271683439696643,4
8.154342764232506,-5.768278914724509,27.21008998293083,59.274846452114886,-4.021702887007011,-2.0542921727204533,1.7378630878343533,7.926012731331623,5.828473004887225,-29.9463788618195,56.65982669090757,4.194056079808139,-2.0382528320621462,-2.0102099158371587,5
7.777782894042311,-5.771546147122675,27.68369185748845,59.73407055557856,-4.17532089676586,-1.9612254887870346,1.7252010166263831,7.558864516120778,5.814255184482717,-30.35786528685488,57.14288432361924,4.381859225281461,-1.9425031116331875,-2.021571007249401,6
7.07234815373011,-5.816264455534499,27.676350765899638,59.8305270164687,-4.250575605616223,-1.900914134059779,1.5925902352818857,6.989542138622028,5.839139035479102,-30.38055624016242,57.268392510201906,4.469315334259936,-1.8696259347317308,-1.9117075774904693,7
6.064433199667602,-5.848149835157813,27.30133898545569,59.65688247354285,-4.307142797398243,-1.8683407268739918,1.3989854784740743,6.243915985426002,5.298788210550638,-27.664750390781798,57.81264132079039,4.485316571236634,-1.8397372024089003,-1.7218419387919692,8
4.888641094581948,-6.160289751033716,28.25394649909037,58.82053685453346,-4.266752802577072,-1.8683324162135362,1.1453508431756554,5.134372612727133,6.087154774043304,-29.709774729339475,56.614632869002776,4.4588839665453674,-1.817909482166393,-1.4594365962229938,9
2.717430272703519,-6.614973677065855,28.96316089219498,56.615175207141476,-3.966032031605574,-1.968552077514422,0.5690116887330565,3.3853619764397225,6.132262772248686,-28.09976701354559,55.44198052297514,4.266724775652969,-1.9071117731876241,-0.923291708262363,10
-3.27111421322465,-7.017106487667616,26.377306934232564,51.26267129274387,-2.633813044475034,-2.3080930914273856,-1.5404980888900197,-2.4278697075941134,6.718314360247339,-25.378463926433323,49.48666824494188,2.9400438186782702,-2.363161946293792,1.1972400049435628,11
-13.35395288488728,-8.838163906961055,24.289423998393953,40.31159084243735,0.32013552093780756,-2.7817186634888373,-4.9426918772098,-12.592886870040813,8.8444183660247,-23.50850640574199,38.29594967408409,0.06408843549966406,-2.847438903307564,4.645826851337269,12
-27.781028068997337,-12.242221113200252,30.494235279984547,45.612317423268955,-0.28235935604648277,-1.3398249598273178,-5.311822630274501,-27.78561584819652,12.422775751619925,-29.347430665682204,43.65238180226924,0.6632688693513071,-1.381259624606279,5.13110669619914,13
-41.36037309480027,-10.647620466750427,37.11760809908203,53.185670437951686,-1.4711122519334785,0.3687345578416041,-5.443948438996412,-42.12472544711207,11.620916834720838,-38.44141447882313,50.706299601573576,2.0359689791138567,0.30192536957430677,5.275938945975902,14
-56.24992127391972,-14.418946936787554,41.98163091078949,54.04940464835016,-3.093911145984413,0.4763299236046418,-5.040607311570002,-56.724138345770626,14.832164387227724,-43.504605009103166,51.82240314236695,3.9336134356327705,0.4048940821643769,4.857213757129505,15
-62.78391894908707,-16.404040994487,45.71515454104435,51.441976257472916,-5.180989859652377,-0.4196595018140118,-4.344633544706531,-63.02300710667637,16.18405346088947,-47.02240569629897,48.203134033758985,6.117494519804839,-0.5862476303047282,4.0777401379452,16
-72.68985510103383,-17.148203167048333,47.68848574987833,55.11677696865048,-6.806157388567394,0.28878881746753693,-4.690361752069785,-72.73842125745007,16.079970618186827,-48.73393077392916,52.01769045483507,7.6065260503494665,0.036276570600038874,4.424632439862817,17
-80.58260871444297,-16.280496856493073,46.83335716122957,60.7070849359696,-8.226890248730479,1.0227885132647916,-4.69726494660467,-80.68436075232204,15.017231124280766,-46.971390770498296,58.47743781299027,8.818751903173137,0.9221860286187442,4.3685909530060165,18
-83.29092646227937,-15.090511491100784,45.446895969591914,63.66503620852172,-9.02026774273919,1.3056800456491013,-4.414566821458818,-83.33870483751215,14.379349742200922,-47.155687148777396,61.46105647701927,9.507200229840304,1.2583832469398466,4.198445370152756,19
-85.71297447692925,-13.931235517923048,43.563620396055796,64.50088830967314,-9.036744653095983,1.3370660464939408,-4.588864403906996,-85.73305601505406,13.711459877424677,-45.314707656204504,62.478433168612746,9.38187087378089,1.358599719484151,4.382475840331139,20
-88.65047174828183,-13.50280694751197,43.523238659296624,64.83968146992288,-8.981161161316658,1.4564079193535946,-4.540729605946338,-88.22382536416241,13.48085681309582,-45.54804346377906,62.75002771004524,9.292313210201279,1.4779467102573804,4.397384646046982,21
