Average timer callback time, Average topic callback time,Desired Position Motor #1,Present Position Motor #1,Desired Position Motor #2,Present Position Motor #2
31877.7,12.1471,157.735,166.448,-86.7153,-67.808
31879.6,12.0857,151.979,164.949,-96.448,-71.1206
31879,12.0857,151.979,163.567,-96.448,-74.3431
31879.8,12.0857,151.979,162.07,-96.448,-77.7161
31880.4,12.0556,145.623,160.401,-105.8,-81.0335
31881.3,12.0556,145.623,158.83,-105.8,-84.2394
31882.1,12.0556,145.623,157.136,-105.8,-87.5887
31882.5,12.0541,138.692,155.272,-114.735,-90.8326
31883.2,12.0541,138.692,153.539,-114.735,-93.971
31884,12.0541,138.692,151.629,-114.735,-97.2397
31884.4,12.2632,131.214,149.537,-123.218,-100.392
31885.1,12.2632,131.214,147.616,-123.218,-103.43
31885.8,12.2632,131.214,145.569,-123.218,-106.571
31886.3,12.1795,123.218,143.284,-131.214,-109.602
31887,12.1795,123.218,141.167,-131.214,-112.471
31887.7,12.1795,123.218,138.922,-131.214,-115.501
31888.1,12.225,114.736,136.472,-138.692,-118.388
31888.7,12.225,114.736,134.192,-138.692,-121.137
31889.6,12.225,114.736,131.788,-138.692,-123.999
31890,12.225,114.736,129.259,-138.692,-126.732
31890.4,12.1707,105.801,126.702,-145.623,-129.074
31890.9,12.1707,105.801,124.505,-145.623,-131.048
31891.8,12.1707,105.801,122.258,-145.623,-133.025
31891.9,12.119,96.4484,119.822,-151.979,-135.151
31892.5,12.119,96.4484,117.523,-151.979,-137.442
31893.1,12.119,96.4484,115.027,-151.979,-139.908
31893.4,12.2558,86.7154,112.264,-157.735,-142.195
31894,12.2558,86.7154,109.71,-157.735,-144.356
31894.5,12.2558,86.7154,106.97,-157.735,-146.631
31894.7,12.2045,76.6403,103.983,-162.868,-148.78
31895.2,12.2045,76.6403,101.222,-162.868,-150.788
31895.6,12.2045,76.6403,98.2709,-162.868,-152.89
31895.9,12.1556,66.2618,95.1114,-167.359,-154.818
31896.3,12.1556,66.2618,92.1628,-167.359,-156.612
31896.8,12.1556,66.2618,89.0895,-167.359,-158.529
31897.6,12.087,55.6229,85.7758,-171.189,-160.262
31897.6,12.087,55.6229,82.6917,-171.189,-161.875
31898.2,12.087,55.6229,79.4849,-171.189,-163.514
31898.5,12.0213,44.7638,76.0557,-174.344,-165.012
31898.9,12.0213,44.7638,72.8927,-174.344,-166.321
31899.5,12.0213,44.7638,69.5037,-174.344,-167.745
31900,12.0213,44.7638,66.0739,-174.344,-169.047
31900.2,11.9583,33.7283,62.601,-176.811,-170.106
31900.7,11.9583,33.7283,59.5555,-176.811,-171.045
31901.1,11.9583,33.7283,56.4571,-176.811,-172.108
31901.3,11.898,22.5594,53.1577,-178.58,-173.009
31902.8,11.898,22.5594,50.0965,-178.58,-173.804
31901.9,11.898,22.5594,46.8611,-178.58,-174.733
31902.3,11.84,11.3016,43.4226,-179.644,-175.497
31902.5,11.84,11.3016,40.2065,-179.644,-176.212
31903,11.84,11.3016,36.8311,-179.644,-176.948
31903.4,11.8039,0,33.2284,-180,-177.451
31903.6,11.8039,0,29.9011,-180,-177.914
31903.9,11.8039,0,26.3737,-180,-178.304
31904.2,11.75,-11.3016,22.7739,-179.644,-178.642
31904.7,11.75,-11.3016,19.2035,-179.644,-178.818
31905.1,11.75,-11.3016,15.6309,-179.644,-178.953
31905.1,11.8113,-22.5594,11.8575,-178.58,-179.078
31905.3,11.8113,-22.5594,8.38098,-178.58,-179.092
31905.6,11.8113,-22.5594,4.67499,-178.58,-179.063
31905.9,11.8889,-33.7283,0.945326,-176.811,-179.004
31906.3,11.8889,-33.7283,-2.71333,-176.811,-178.862
31906.6,11.8889,-33.7283,-6.40283,-176.811,-178.536
31906.9,11.8364,-44.7638,-10.1863,-174.344,-178.201
31907.3,11.8364,-44.7638,-13.8844,-174.344,-177.823
31907.8,11.8364,-44.7638,-17.5933,-174.344,-177.158
31908.2,11.8364,-44.7638,-21.3616,-174.344,-176.544
31908.5,11.7679,-55.6229,-25.0361,-171.189,-176.139
31909.1,11.7679,-55.6229,-28.4415,-171.189,-175.72
31909.3,11.7679,-55.6229,-31.8069,-171.189,-175.015
31909.4,11.8246,-66.2618,-35.2898,-167.359,-174.228
31910,11.8246,-66.2618,-38.5202,-167.359,-173.512
31910,11.8246,-66.2618,-41.8232,-167.359,-172.559
31910.6,11.8448,-76.6403,-45.2674,-162.868,-171.449
31910.6,11.8448,-76.6403,-48.6377,-162.868,-170.398
31911.4,11.8448,-76.6403,-52.0718,-162.868,-169.146
31911.7,11.7797,-86.7154,-55.6559,-157.735,-167.904
31911.6,11.7797,-86.7154,-58.9674,-157.735,-166.684
31911.9,11.7797,-86.7154,-62.3722,-157.735,-165.278
31912.1,11.7333,-96.4484,-65.8529,-151.979,-163.829
31912.8,11.7333,-96.4484,-69.2512,-151.979,-162.382
31913.2,11.7333,-96.4484,-72.6646,-151.979,-160.705
