Average timer callback time, Average topic callback time,Desired Position Motor #1,Present Position Motor #1,Desired Position Motor #2,Present Position Motor #2
31861.1,12.9508,-105.801,-30.2476,-145.623,-164.935
31861.7,12.9508,-105.801,-36.5177,-145.623,-162.519
31862.6,12.9032,-114.736,-42.8065,-138.692,-159.794
31863.6,12.8413,-123.218,-49.0938,-131.214,-156.981
31863.9,12.8413,-123.218,-55.3525,-131.214,-153.747
31865.3,12.7812,-131.214,-61.6628,-123.218,-150.276
31865.3,12.7385,-138.692,-67.9559,-114.735,-146.682
31866.2,12.7385,-138.692,-74.2562,-114.735,-142.754
31866.9,12.6818,-145.623,-80.5184,-105.8,-138.609
31867.8,12.6818,-145.623,-86.7971,-105.8,-134.43
31868.3,12.6567,-151.979,-93.1161,-96.448,-130.021
31868.9,12.6029,-157.735,-99.3991,-86.7153,-125.606
31869.8,12.6029,-157.735,-105.675,-86.7153,-120.902
31870.3,12.6377,-162.869,-111.87,-76.64,-116.083
31870.9,12.6,-167.359,-117.941,-66.2613,-111.122
31871.6,12.6,-167.359,-123.828,-66.2613,-105.823
31872.2,12.5493,-171.19,-129.555,-55.6219,-100.321
31872.8,12.5,-174.345,-134.992,-44.7633,-94.7603
31873.6,12.5,-174.345,-140.249,-44.7633,-89.069
31874.2,12.4521,-176.811,-145.268,-33.728,-83.2628
31874.8,12.4521,-176.811,-149.996,-33.728,-77.1781
31875.2,12.4865,-178.581,-154.382,-22.5588,-71.3233
31875.7,12.44,-179.644,-158.352,-11.3019,-65.4222
31876.4,12.44,-179.644,-161.967,-11.3019,-59.2178
31878.1,12.3947,-180,-165.199,0,-53.1532
31877.5,12.3636,-179.644,-168.022,11.3019,-47.0222
31878.2,12.3636,-179.644,-170.349,11.3019,-40.7881
31878.6,12.3333,-178.581,-172.164,22.5588,-34.5517
31879.1,12.3038,-176.811,-173.594,33.728,-28.3911
31880.1,12.3038,-176.811,-174.601,33.728,-22.2495
31880.2,12.2625,-174.345,-175.131,44.7633,-15.9644
31880.8,12.2625,-174.345,-175.385,44.7633,-9.69007
31881.2,12.2469,-171.19,-175.371,55.6219,-3.51526
31881.6,12.2561,-167.359,-175.164,66.2613,2.77215
31882.2,12.2561,-167.359,-174.687,66.2613,9.08919
31882.6,12.2892,-162.869,-173.832,76.64,15.3588
31883.1,12.2976,-157.735,-172.716,86.7153,21.6095
31883.6,12.2976,-157.735,-171.354,86.7153,27.8436
31884,12.3176,-151.979,-169.667,96.448,34.1167
31884.6,12.2674,-145.623,-167.759,105.8,40.4255
31885.2,12.2674,-145.623,-165.619,105.8,46.7236
31885.5,12.2414,-138.692,-163.179,114.735,52.9778
31885.8,12.2273,-131.214,-160.577,123.218,59.2841
31886.4,12.2273,-131.214,-157.712,123.218,65.5692
31886.7,12.2247,-123.218,-154.588,131.214,71.8708
31887.2,12.2247,-123.218,-151.279,131.214,77.965
31887.5,12.2667,-114.736,-147.867,138.692,84.1967
31887.7,12.3077,-105.801,-144.31,145.623,90.5387
31888.3,12.3077,-105.801,-140.585,145.623,96.8628
31888.6,12.2826,-96.4484,-136.644,151.979,103.164
31889,12.2581,-86.7154,-132.572,157.735,109.478
31889.5,12.2581,-86.7154,-128.27,157.735,115.791
31889.8,12.234,-76.6403,-123.715,162.868,122.029
31890.2,12.2,-66.2618,-119.052,167.359,128.007
31890.6,12.2,-66.2618,-114.22,167.359,133.805
31891.2,12.1667,-55.6229,-109.159,171.189,139.383
31892.4,12.1667,-55.6229,-103.918,171.189,144.623
31892.5,12.1959,-44.7638,-98.5843,174.344,149.402
31891.7,12.1939,-33.7283,-93.1677,176.811,153.758
31892.2,12.1939,-33.7283,-87.7339,176.811,157.826
31892.6,12.2222,-22.5594,-82.0634,178.58,161.479
31892.9,12.2,-11.3016,-76.3426,179.644,164.636
31893.1,12.2,-11.3016,-70.4842,179.644,167.458
31893.7,12.2178,0,-64.5382,180,169.875
31893.8,12.2451,11.3016,-58.5708,179.644,171.79
31894.2,12.2451,11.3016,-52.5488,179.644,173.305
31894.6,12.2136,22.5594,-46.4659,178.58,174.509
31895,12.2136,22.5594,-40.3076,178.58,175.324
31895.3,12.1827,33.7283,-34.1953,176.811,175.852
31895.4,12.1524,44.7638,-28.0277,174.344,176.209
31895.8,12.1524,44.7638,-21.9864,174.344,176.201
31896.1,12.1226,55.6229,-15.5412,171.189,175.998
31896.3,12.0935,66.2618,-9.32416,167.359,175.583
31896.7,12.0935,66.2618,-3.28856,167.359,174.577
31897,12.0648,76.6403,3.16232,162.868,173.179
31897.3,12.0367,86.7154,9.44178,157.735,171.739
31897.7,12.0367,86.7154,15.519,157.735,169.89
31898,12.0091,96.4484,22.0208,151.979,167.817
31898.4,12.0091,96.4484,28.0793,151.979,165.646
31898.6,12,105.801,34.5553,145.623,163.31
31898.9,11.9643,114.736,40.8793,138.692,160.889
31899.3,11.9643,114.736,47.0024,138.692,158.097
31899.5,11.9912,123.218,53.4776,131.214,155.098
31899.9,11.9561,131.214,59.7384,123.218,151.919
31900.2,11.9561,131.214,65.7948,123.218,148.411
31900.4,11.9478,138.692,72.3189,114.735,144.661
31900.6,11.9224,145.623,78.6184,105.8,140.728
31901,11.9224,145.623,84.7071,105.8,136.457
31901.3,11.9402,151.979,91.2469,96.448,131.986
31901.5,11.9576,157.735,97.4841,86.7153,127.417
31901.8,11.9576,157.735,103.528,86.7153,122.516
31902.1,11.9328,162.869,109.966,76.64,117.451
31902.4,11.9328,162.869,115.923,76.64,112.351
31902.7,11.9083,167.359,122.091,66.2613,107.109
31902.8,11.9339,171.19,127.823,55.6219,101.849
31903.1,11.9339,171.19,133.183,55.6219,96.3911
31903.3,11.918,174.345,138.656,44.7633,90.771
31903.5,11.8943,176.811,143.708,33.728,85.1081
31903.9,11.8943,176.811,148.303,33.728,79.2533
31904.1,11.871,178.581,152.924,22.5588,73.4127
31904.3,11.864,179.644,157.058,11.3019,67.4607
31904.8,11.864,179.644,160.735,11.3019,61.5716
31904.8,11.8413,180,164.229,0,55.3256
31905.1,11.8413,180,167.12,0,49.1153
31905.3,11.8268,179.644,169.679,-11.3019,42.8907
31905.6,11.7969,178.581,171.666,-22.5588,36.6578
31905.9,11.7969,178.581,173.133,-22.5588,30.413
31906,11.7829,176.811,174.222,-33.728,24.2418
31906,11.7846,174.345,175.016,-44.7633,18.1156
31906.4,11.7846,174.345,175.507,-44.7633,11.8127
