Average timer callback time, Average topic callback time,Desired Position Motor #1,Present Position Motor #1,Desired Position Motor #2,Present Position Motor #2
31844.6,13.6479,145.623,-1.2896,105.8,12.0356
31845.6,13.6389,162.869,-3.63929,76.64,15.7345
31847.5,13.6575,174.345,-5.59521,44.7633,19.859
31846.7,13.6757,179.644,-7.12222,11.3019,24.3473
31847.9,13.5867,178.581,-8.16079,-22.5588,28.8024
31848.9,13.6184,171.19,-8.62198,-55.6219,32.9197
31850.3,13.5455,151.979,-8.49789,-96.448,36.563
31852.5,13.4744,131.214,-7.76631,-123.218,39.6385
31852,13.4557,105.801,-6.36697,-145.623,41.9947
31852.9,13.4875,76.6403,-4.30274,-162.868,43.4762
31853.8,13.4568,44.7638,-1.53131,-174.344,44.0356
31854.8,13.4512,11.3016,1.94588,-179.644,43.6859
31855.8,13.3735,-22.5594,5.92299,-178.58,42.2815
31856.7,13.3571,-66.2618,10.253,-167.359,39.8554
31857.5,13.3294,-96.4484,14.6461,-151.979,36.6862
31858.1,13.3605,-123.218,18.9245,-131.214,32.9292
31859.3,13.3448,-145.623,23.0178,-105.8,28.6945
31859.5,13.3636,-162.869,26.7553,-76.64,24.1209
31860,13.382,-174.345,30.0934,-44.7633,19.1324
31860.7,13.3667,-180,32.9688,0,13.9259
31861.8,13.3187,-176.811,35.3321,33.728,8.63052
31862.1,13.3261,-167.359,37.1058,66.2613,3.57807
31862.7,13.3011,-151.979,38.2671,96.448,-1.08444
31863.4,13.3191,-131.214,38.7899,123.218,-5.19467
31864.1,13.2947,-105.801,38.696,145.623,-8.61748
31864.6,13.2708,-76.6403,37.9407,162.868,-11.2569
31865.2,13.2474,-33.7283,36.4331,176.811,-12.9647
31865.9,13.2245,0,34.1874,180,-13.7233
31866.7,13.2121,33.7283,31.2861,176.811,-13.5159
31867,13.23,66.2618,27.9251,167.359,-12.3093
31867.6,13.2079,96.4484,24.382,151.979,-9.94844
31868.2,13.1863,123.218,20.8567,131.214,-6.87526
31868.5,13.165,151.979,17.4713,96.448,-3.13719
31869.3,13.1442,167.359,14.3843,66.2613,0.976593
31869.6,13.1238,176.811,11.633,33.728,5.57393
31870.2,13.1038,180,9.34639,0,10.3988
31870.6,13.1589,176.811,7.54037,-33.728,15.0673
31870.9,13.2222,167.359,6.27229,-66.2613,19.4619
31871.4,13.1927,151.979,5.60095,-96.448,23.3493
31872,13.1636,123.218,5.56222,-131.214,26.5588
31872.5,13.1441,96.4484,6.14319,-151.979,28.9884
31873,13.1161,66.2618,7.41127,-167.359,30.5529
31873.5,13.0796,33.7283,9.36576,-176.811,31.181
31873.9,13.0526,0,11.9988,-180,30.8954
31874.5,13.0174,-33.7283,15.0815,-176.811,29.6154
31874.9,12.9914,-76.6403,18.2983,-162.868,27.1917
31875.4,12.9658,-105.801,21.5187,-145.623,24.0782
31875.9,12.9322,-131.214,24.5441,-123.218,20.333
31876.7,12.9076,-151.979,27.3054,-96.448,16.0759
31876.8,12.9167,-167.359,29.7147,-66.2613,11.5046
31877.7,12.9339,-176.811,31.6491,-33.728,6.56356
31877.7,12.9508,-180,33.1029,0,1.41156
31879.5,12.935,-174.345,34.0059,44.7633,-3.77719
31878.5,12.9113,-162.869,34.3186,76.64,-8.76919
31880.3,12.896,-145.623,34.0038,105.8,-13.3156
31880,12.881,-123.218,33.0563,131.214,-17.2433
31880.2,12.8583,-96.4484,31.4195,151.979,-20.4516
31880.3,12.8359,-66.2618,29.0691,167.359,-22.8409
31881,12.8217,-22.5594,25.9972,178.58,-24.3283
31881,12.8077,11.3016,22.3141,179.644,-24.819
31881.4,12.8168,44.7638,18.1233,174.344,-24.3757
31881.9,12.7955,76.6403,13.6864,162.868,-22.8373
31882.1,12.782,105.801,9.17497,145.623,-20.2939
31882.5,12.7985,131.214,4.77756,123.218,-17.0359
31882.8,12.8148,151.979,0.649105,96.448,-13.1721
31883.2,12.8235,171.19,-3.18312,55.6219,-8.88296
31883.5,12.8394,178.581,-6.56708,22.5588,-4.21333
31884,12.8333,179.644,-9.48984,-11.3019,0.666074
31884.4,12.8417,174.345,-11.8524,-44.7633,5.36296
31884.7,12.8571,162.869,-13.6592,-76.64,9.75763
31885,12.8652,145.623,-14.8742,-105.8,13.6676
