theta1,theta2,theta3,theta4,theta5,theta6,theta7,theta8,theta9,theta10,theta11,theta12,theta13,theta14,theta15,frame
-99.18544323743744,86.51774931429085,-4.6172579890574825,28.2988228620898,97.30232972449654,84.79559306232306,5.729927996297804,-28.298822862089825,90.0,1.8059694770958779,0.0,0.0,0.0,0.9407846655431922,-5.394260697766086,0
-103.95492277667236,87.09989192659724,-3.0836665109315344,28.29882286208985,102.06613989742718,85.08439845320527,5.09857998820963,-28.298822862089953,90.0,1.7743912342453594,0.0,0.0,0.0,0.8047609780248834,-4.020756019123267,1
-104.88909402767014,87.98697108384582,-0.8151350575220104,28.29882286208972,103.05229597167879,85.66967341171011,5.216307231883259,-28.298822862089594,90.0,1.6732320914782528,0.0,0.0,0.0,0.707577401539882,-3.7221333760196615,2
-105.01876304079948,87.67721495936446,-0.7467643757303059,28.298822862089953,103.28498538953177,85.95931066886594,2.800349975012355,-28.29882286208972,90.0,1.647211344647006,0.0,0.0,0.0,0.6967825822656778,-3.3344578240063125,3
-105.65116681734416,87.74276098387814,-0.7681677861696149,28.298822862089697,103.86380421699366,86.07422341707537,2.8194275754200007,-28.298822862089647,83.7686469609349,1.6290227417911003,0.0,0.0,0.0,0.6745033936388342,-2.980662532835211,4
-105.37916192412848,87.71831691981458,-0.7586761931530094,28.298822862089697,103.48671746376736,86.10861449134308,2.831930809085861,-28.298822862089594,76.58258083779194,1.667209696572828,0.0,0.0,0.0,0.6598041457471353,-2.635578092853734,5
-105.02541865846979,88.24161256788683,1.603464940796431,28.29882286208985,103.09971567674526,86.09116182742697,2.8324654356511885,-28.298822862089647,67.08970616554814,1.784653118873122,0.0,0.0,0.0,0.6743307378597617,-2.52351935169494,6
-104.13452630996204,88.1914589482163,1.6248557116646183,28.29882286208985,102.36343623434367,85.93738054561781,3.3315303385073154,-28.29882286208985,58.073213335404866,1.9858161888680277,0.0,0.0,0.0,0.6972478293374569,-2.3579233379181206,7
-102.84089239624744,87.77108916114776,0.0073893656170053255,28.298822862089647,101.28769551477642,85.83848873544758,3.373879204279179,-28.29882286208972,50.541158861319765,2.224898537850898,0.0,0.0,0.0,0.7179918815417982,-2.295288523898935,8
-101.2597855373837,87.79185693723012,-0.07380220274684104,28.29882286208962,99.79774292245763,85.77137619997934,3.4633531415917194,-28.29882286208962,43.265391763874554,2.483906064951021,0.0,0.0,0.0,0.7507954779912049,-1.9925034498042995,9
-98.2977423351205,87.38835506479043,-2.5770726653237634,28.298822862089697,97.19488106806978,85.41749106165605,5.2455403037181405,-28.29882286208957,38.290074676112134,2.7163987723016163,0.0,0.0,0.0,0.8269521751846037,-1.7245376917587565,10
-89.88751144635928,86.71690322948145,-7.731679345258345,28.298822862089697,88.60447483679286,85.00268145324833,10.255749385839382,-28.29882286208972,33.66498578342597,2.9525867925732006,0.0,0.0,0.0,0.9040108899418949,-1.5020805447095695,11
-76.89519012016342,85.90847243819552,-14.757469690593727,31.23510093483777,79.24714962186012,83.29632450356164,17.367708831141975,-41.624002096125935,37.593641107629125,2.599884520126682,0.0,0.0,0.0,0.9150377694217615,-0.7417142413019547,12
-63.4925031311323,83.0460713728786,-21.275688570870937,32.941931575139336,63.27798671844299,81.0659407317913,24.622610403856665,-40.358409374373906,33.16723346589457,2.7257090620499125,0.0,0.0,0.0,1.0316382144467882,-0.574832131743727,13
-48.95262483190039,85.89127797327318,-26.671891466478154,28.29882286208985,46.339271792570145,85.88236000085226,30.987405888083995,-30.767722989646376,22.66676727385716,3.737538154867117,0.0,0.0,0.0,1.093990327920693,-0.5054448083820869,14
-33.27980986552732,84.06315796186558,-33.60645464683635,31.34610584735323,29.764314425992186,86.24330258544084,38.55604703818155,-29.877424703846412,21.736348423326213,3.844039657836447,0.0,0.0,0.0,1.0894408723970486,0.6192438761249268,15
-25.36550032667779,83.37952574530587,-40.901458700323246,33.86381627888015,21.654040587512082,86.38069693508177,48.46403763927083,-31.88865827097691,23.418871408744767,3.4078785153400566,0.0,0.0,0.0,1.0824764488248422,2.642302624018474,16
-14.138878134491817,86.27095053697144,-38.404657575056824,28.637420552858316,11.62692518614282,89.64935702780578,47.24418527211014,-28.298822862089697,19.829297725070855,3.769608166694445,0.0,0.0,0.0,1.0911744735760116,1.5794286046644677,17
-7.020089214273019,88.0934505982653,-33.332481496967546,28.298822862089825,4.9573631197064625,91.65390484983521,41.65188828022507,-28.298822862089697,16.687595138839495,4.452256858617445,0.0,0.0,0.0,1.0574791209127212,0.21754968016046303,18
-5.0302753371079945,90.05992201837057,-27.298329321458628,28.298822862089697,3.284033820789887,92.91921662524817,36.579808865428795,-28.298822862089594,14.629427331536242,5.0006057067782255,0.0,0.0,0.0,1.0677101013346482,0.25168195966211315,19
-2.587489688127724,91.73815530521544,-25.203719100020997,28.29882286208985,0.9977416494964282,94.43007395993129,33.69172935097155,-28.29882286208985,14.775507374493486,5.180613720578775,0.0,0.0,0.0,1.0549813238013683,0.6485520272887366,20
0.3428354599803348,93.5955904984575,-23.213769005903973,28.298822862089697,-1.2035346830406628,95.68543764037598,30.481787173304944,-28.29882286208985,13.829787087445053,5.518573142046568,0.0,0.0,0.0,0.9876042851790731,0.5189777744225411,21
2.5399382039078073,94.59927067576551,-20.984158981351467,28.298822862089697,-3.796865094991172,95.85096384491416,30.50651877047597,-28.29882286208957,13.200817982231943,5.632291553024422,0.0,0.0,0.0,0.9900283967522362,0.46123385689798096,22
4.538153563244349,94.79298528778105,-21.020512688088633,28.298822862089672,-5.3917752197387125,96.29547259636446,28.177585746508317,-28.298822862089747,13.034885300521154,5.680703813062887,0.0,0.0,0.0,1.003788849609313,0.6506547302572133,23
5.617949348426853,94.69564807564021,-20.97006679074826,28.298822862089594,-6.4873697123473635,96.11826750603731,28.17077071968591,-28.2988228620899,12.976231219303509,5.680208837484662,0.0,0.0,0.0,1.0402709352170774,0.7390999145766708,24
5.848244607248924,94.77253973378247,-20.938526054912906,28.298822862089672,-6.758340890405736,96.13415103436773,28.221208021634634,-28.298822862089672,12.818524347794197,5.724245140838464,0.0,0.0,0.0,1.0903217734176247,0.7758961237203797,25
5.435916625361732,94.76222156433835,-20.89524299690236,28.298822862089672,-6.434625561745497,96.0460373278725,28.243597766882722,-28.298822862089672,12.67724122966903,5.756950124896718,0.0,0.0,0.0,1.1298434794215675,0.842945327137977,26
3.122690417613201,95.00376949710788,-18.456510460871495,28.298822862089672,-4.238257466736216,95.51131978558048,28.17678986061963,-28.298822862089825,12.78966609261299,5.72846094915659,0.0,0.0,0.0,1.1604773293827029,0.8686857083820322,27
-1.3156757633181795,94.56274702621333,-18.302519133764353,28.29882286208972,0.12755900705239293,95.1993715669205,25.739304536871675,-28.29882286208957,13.069258986753216,5.654019838228564,0.0,0.0,0.0,1.1999985086213727,0.5202982171862892,28
-5.370470148550806,94.71342344738872,-16.647562456584257,28.298822862089594,4.014565332254879,94.99950344773538,24.98131856857849,-28.298822862089697,13.021815876886642,5.515632759795271,0.0,0.0,0.0,1.2595739085752793,0.08612794331707252,29
-7.325054225199619,93.95829295315272,-19.243441462285904,28.29882286208972,6.075349707532566,94.48609799330345,25.387081620413507,-28.29882286208985,13.634157045195673,5.1804989513360855,0.0,0.0,0.0,1.31670782072028,-0.1144265458686899,30
-14.178390174583525,91.30302668289703,-24.361715836846276,28.298822862089594,12.717230216246714,90.78695774274689,30.45840671814993,-28.29882286208985,15.889725071663047,4.444109269898376,0.0,0.0,0.0,1.3055257387257417,1.6518155533358816,31
-20.009134292174874,90.90134118839084,-24.72488268501617,28.298822862089594,18.392247990966343,90.47082808495362,31.210255725934516,-28.298822862089697,13.972335320647105,4.646607053833289,0.0,0.0,0.0,1.3622124740126798,1.3416443400273046,32
-28.584854673876038,89.44686106871639,-24.488540511863693,28.298822862089697,26.80860958095491,89.06584199847893,29.51051190026512,-28.298822862089672,13.595954197966552,4.868466505907087,0.0,0.0,0.0,1.3511994021939386,1.069025163285883,33
-41.263922597046765,87.77824868675873,-21.814395376771884,28.298822862089697,39.95516012138394,86.1636762651855,26.344704934301618,-28.298822862089672,13.5634299721305,5.229399075775337,0.0,0.0,0.0,1.3394186309486233,1.1923024577197772,34
-56.56296901656662,85.68304882080356,-16.629359117332818,28.29882286208972,55.08199524121684,84.00013759112169,20.75489092507062,-28.298822862089825,12.495728231876368,5.403974864155418,0.0,0.0,0.0,1.3542453173043576,0.2645648541217414,35
-74.16867761534705,84.38536093739197,-6.748377714936895,28.298822862089594,73.15235034903021,82.13710878295988,10.081744100124507,-28.29882286208972,14.983922937670645,4.660568603656426,0.0,0.0,0.0,1.3580569414393662,-1.068554345297089,36
-88.65958669255336,84.80828269629751,5.215520951977777,28.29882286208985,88.08322913181331,81.86579471462979,-0.2446182824234606,-28.298822862089697,18.890478626868425,3.919098918758364,0.0,0.0,0.0,1.3497415196594926,-1.7525421470736,37
-100.36370045632114,84.76515646737218,17.83142942949087,28.2988228620899,100.17452511411177,82.33918598447386,-14.518634683839338,-28.298822862089697,30.159922492004842,2.365960621615123,0.0,0.0,0.0,1.3160450362597274,-1.6481853426751476,38
-107.73233794916257,83.67833724901128,29.429237958562148,28.298822862089697,108.32770592770311,81.46494313870923,-26.46074403712086,-28.29882286208972,89.6628949128359,1.2296828905803627,0.0,0.0,0.0,1.2443785092385158,-0.9461838961535329,39
-113.41239310423255,79.75775177472242,34.858883579351605,28.298822862089697,114.94430074521402,78.13972063434049,-34.78449660835731,-28.298822862089825,90.0,2.897722880633734,0.0,0.0,0.0,1.2506545408784773,-0.29416726599360044,40
