Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22,Column_23,Column_24,Column_25,Column_26,Column_27,Column_28,Column_29,Column_30,Column_31,Column_32,Column_33,Column_34,Column_35,Column_36,Column_37,Column_38,Column_39,Column_40,Column_41,Column_42,Column_43,Column_44,Column_45,Column_46,Column_47,Column_48,Column_49,Column_50
3.26478,18.76715,20.72169,24.35046,57.52038,6.83066,6.62908,-12.22214,-5.53421,-18.57183,-22.56901,-25.93543,-58.19043,-3.31936,-2.42567,7.40288,9.27242,0.00726,-1.83051,3.66102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,504.21167,486.45168,549.15254,390.10617,30.50847,474.93585,478.04591,549.15254,173.40955,35.49441,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,7979.0,0.0,-3.98936e+27
3.17409,18.24584,20.14609,23.67406,55.92259,6.64092,6.44494,-11.88264,-5.38048,-18.05594,-21.94209,-25.215,-56.57403,-3.22716,-2.35829,7.19724,9.01486,0.00706,-1.77966,3.55932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,490.20579,472.93913,533.89831,379.26988,29.66102,461.74319,464.76686,533.89831,168.59262,34.50846,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,7979.0,0.0,-3.98936e+27
3.0834,17.72453,19.57049,22.99766,54.3248,6.45118,6.2608,-11.54313,-5.22675,-17.54006,-21.31518,-24.49457,-54.95763,-3.13496,-2.29091,6.9916,8.75729,0.00686,-1.72881,3.45763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,476.19991,459.42658,518.64407,368.4336,28.81356,448.55053,451.4878,518.64407,163.77568,33.5225,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,7979.0,0.0,-3.98936e+27
2.99271,17.20322,18.99488,22.32126,52.72701,6.26144,6.07666,-11.20363,-5.07302,-17.02417,-20.68826,-23.77415,-53.34123,-3.04275,-2.22353,6.78597,8.49972,0.00666,-1.67797,3.35593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,462.19403,445.91404,503.38983,357.59732,27.9661,435.35786,438.20875,503.38983,158.95875,32.53655,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,7979.0,0.0,-3.98936e+27
2.90203,16.68191,18.41928,21.64485,51.12923,6.0717,5.89252,-10.86412,-4.91929,-16.50829,-20.06134,-23.05372,-51.72483,-2.95055,-2.15615,6.58033,8.24215,0.00645,-1.62712,3.25424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,448.18815,432.40149,488.13559,346.76104,27.11864,422.1652,424.9297,488.13559,154.14182,31.55059,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,7979.0,0.0,-3.98936e+27
2.81134,16.1606,17.84368,20.96845,49.53144,5.88196,5.70838,-10.52462,-4.76557,-15.99241,-19.43443,-22.33329,-50.10843,-2.85834,-2.08877,6.3747,7.98459,0.00625,-1.57627,3.15254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,434.18227,418.88894,472.88136,335.92475,26.27119,408.97254,411.65064,472.88136,149.32489,30.56463,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,7979.0,0.0,-3.98936e+27
2.72065,15.63929,17.26808,20.29205,47.93365,5.69222,5.52424,-10.18512,-4.61184,-15.47652,-18.80751,-21.61286,-48.49203,-2.76614,-2.02139,6.16906,7.72702,0.00605,-1.52542,3.05085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,420.17639,405.3764,457.62712,325.08847,25.42373,395.77988,398.37159,457.62712,144.50796,29.57868,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,7979.0,0.0,-3.98936e+27
2.62996,15.11798,16.69247,19.61565,46.33586,5.50248,5.34009,-9.84561,-4.45811,-14.96064,-18.18059,-20.89243,-46.87562,-2.67393,-1.95401,5.96343,7.46945,0.00585,-1.47458,2.94915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,406.17051,391.86385,442.37288,314.25219,24.57627,382.58721,385.09254,442.37288,139.69102,28.59272,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,7979.0,0.0,-3.98936e+27
2.53927,14.59667,16.11687,18.93925,44.73807,5.31274,5.15595,-9.50611,-4.30438,-14.44475,-17.55367,-20.172,-45.25922,-2.58173,-1.88663,5.75779,7.21188,0.00565,-1.42373,2.84746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,392.16463,378.35131,427.11864,303.41591,23.72881,369.39455,371.81349,427.11864,134.87409,27.60677,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,7979.0,0.0,-3.98936e+27
2.44858,14.07536,15.54127,18.26285,43.14028,5.123,4.97181,-9.16661,-4.15066,-13.92887,-16.92676,-19.45157,-43.64282,-2.48952,-1.81925,5.55216,6.95432,0.00545,-1.37288,2.74576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,378.15875,364.83876,411.86441,292.57962,22.88136,356.20189,358.53443,411.86441,130.05716,26.62081,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,7979.0,0.0,-3.98936e+27
2.3579,13.55405,14.96567,17.58644,41.5425,4.93326,4.78767,-8.8271,-3.99693,-13.41299,-16.29984,-18.73114,-42.02642,-2.39732,-1.75187,5.34652,6.69675,0.00524,-1.32203,2.64407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,364.15287,351.32621,396.61017,281.74334,22.0339,343.00923,345.25538,396.61017,125.24023,25.63485,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,7979.0,0.0,-3.98936e+27
2.26721,13.03274,14.39006,16.91004,39.94471,4.74352,4.60353,-8.4876,-3.8432,-12.8971,-15.67292,-18.01072,-40.41002,-2.30511,-1.68449,5.14089,6.43918,0.00504,-1.27119,2.54237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.14699,337.81367,381.35593,270.90706,21.18644,329.81656,331.97633,381.35593,120.4233,24.6489,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,7979.0,0.0,-3.98936e+27
2.17652,12.51143,13.81446,16.23364,38.34692,4.55378,4.41939,-8.14809,-3.68947,-12.38122,-15.04601,-17.29029,-38.79362,-2.21291,-1.61711,4.93525,6.18161,0.00484,-1.22034,2.44068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336.14111,324.30112,366.10169,260.07078,20.33898,316.6239,318.69727,366.10169,115.60636,23.66294,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,7979.0,0.0,-3.98936e+27
2.08583,11.99012,13.23886,15.55724,36.74913,4.36404,4.23525,-7.80859,-3.53574,-11.86533,-14.41909,-16.56986,-37.17722,-2.12071,-1.54973,4.72961,5.92405,0.00464,-1.16949,2.33898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,322.13523,310.78857,350.84746,249.23449,19.49153,303.43124,305.41822,350.84746,110.78943,22.67699,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,7979.0,0.0,-3.98936e+27
1.99514,11.46881,12.66326,14.88084,35.15134,4.17429,4.05111,-7.46909,-3.38202,-11.34945,-13.79217,-15.84943,-35.56082,-2.0285,-1.48235,4.52398,5.66648,0.00444,-1.11864,2.23729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308.12935,297.27603,335.59322,238.39821,18.64407,290.23858,292.13917,335.59322,105.9725,21.69103,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,7979.0,0.0,-3.98936e+27
1.90445,10.9475,12.08765,14.20444,33.55355,3.98455,3.86696,-7.12958,-3.22829,-10.83357,-13.16526,-15.129,-33.94442,-1.9363,-1.41497,4.31834,5.40891,0.00424,-1.0678,2.13559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294.12347,283.76348,320.33898,227.56193,17.79661,277.04591,278.86011,320.33898,101.15557,20.70507,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,7979.0,0.0,-3.98936e+27
1.81377,10.42619,11.51205,13.52803,31.95577,3.79481,3.68282,-6.79008,-3.07456,-10.31768,-12.53834,-14.40857,-32.32802,-1.84409,-1.34759,4.11271,5.15135,0.00403,-1.01695,2.0339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280.11759,270.25093,305.08475,216.72565,16.94915,263.85325,265.58106,305.08475,96.33864,19.71912,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,7979.0,0.0,-3.98936e+27
