theta1,theta2,theta3,theta4,theta5,theta6,theta7,theta8,theta9,theta10,theta11,theta12,theta13,theta14,theta15,theta16,theta17,theta18,theta19,theta20,theta21,frame
-3.812443401292806,19.435494887130105,50.08728696252412,128.77396903561166,109.3010892573377,6.063671959136415,-2.253125780580677,7.646950386269628,4.36129136289882,-12.331823046662699,-52.857491978437665,-131.40446091432483,-109.83313304936794,-5.107927730058743,1.9602708384853729,7.494948822663341,0.1304835024850701,6.291295659592154,0.47670858112573755,0,0,0
-9.035684573766549,9.750701801050848,52.653562915097105,136.65911392038063,107.53954302989897,4.707060957115523,-2.6507615735868617,9.685896808614018,9.450761999817393,-5.375126469962207,-53.60042809794495,-140.0118448315055,-107.9083199849622,-3.741160001839643,2.2401041209213477,9.65118347266384,0.16205628808916128,7.554398092171927,0.5478478806242681,0,0,1
-9.443949739893952,12.419637173818003,49.195101187794876,136.22660881366085,113.72231792257205,4.4304280628143395,-2.1712387244773197,12.327543318036614,9.78444576907649,-8.316725424160616,-50.38476438754961,-139.4576870396221,-113.72597852229315,-3.5363948928860163,1.7464575548589125,12.302657949832772,0.23326550114613792,6.425707235088961,0.502158705742477,0,0,2
-9.621791644181805,16.931110499235633,48.52799933090799,135.49086793355076,118.7747227305536,4.403127481953635,-1.7066013792374353,12.957632562113146,9.912560481112065,-9.510595474198661,-51.621815876727894,-138.89440495750839,-118.68391743029873,-3.549303651601087,1.2803451631778868,12.995103452676952,0.35818330046009283,6.302086775499426,0.5315950766182638,0,0,3
-9.539761926023598,19.0874786645444,48.847130778783594,133.30498274639453,122.28663389227947,4.198928146122879,-1.1716580859267505,12.92445819401488,9.782377929305268,-11.550048588150958,-52.42837832412274,-137.10199361004695,-122.33516239730433,-3.305248042445416,0.7443881094046328,13.042354431286329,0.4261151543786032,6.916848496043704,0.5818761337916987,0,0,4
-9.291183167596508,19.05715505378501,51.355818913268884,130.3982736861474,125.86496379836086,3.987991556905927,-0.4667634136214122,12.71824296362434,9.360183446139269,-14.787500507284143,-53.11713568686123,-133.97805391499682,-126.3716984995299,-2.9882669967869373,0.06764406011821388,12.855343785160382,0.5134416923855333,7.587298492575533,0.6440446870517832,0,0,5
-9.061209844468532,22.65556399259388,51.040146769261206,126.43274981144688,129.85807147147744,3.843425846029419,0.2816688239394077,12.396939525206264,9.044496371569512,-18.391048649546974,-52.66563826522505,-129.80613030947535,-130.49033183048155,-2.8626882973052763,-0.719587478194744,12.548086406560703,0.6332773669163472,8.375633905655832,0.7042906864970249,0,0,6
-8.431109525609223,27.335620907267106,50.406455394062434,121.32304272088201,133.98984343270163,3.428311142458483,1.2469075113576304,12.332286921175164,8.420683241841198,-23.062154401092364,-52.21401451762365,-124.67137536509546,-134.9527392952301,-2.4431504688350327,-1.6675886520030128,12.489744581382169,0.7891507609318457,8.94049063028932,0.6768312080112321,0,0,7
-8.504855078077851,30.265674604256283,49.58575458935743,117.95061104963649,137.22853201144414,3.2531803418065075,2.143354710635034,12.140656342283913,8.509358734061829,-25.84857861289797,-51.46239408579325,-121.36340598726242,-138.36744109903393,-2.273394205555523,-2.5791585122416225,12.269277414460733,0.8177609485788682,9.759184720165742,0.7137979197134511,0,0,8
-8.907888319301025,30.659979697535846,49.341508736790466,117.41592980274214,138.8714150510115,3.3740601537687414,2.6120499083342943,11.903188186528494,8.900452804615819,-26.187976794997876,-51.100323719932256,-120.76750298389285,-140.01168587794507,-2.3964384852133334,-3.0260576478075754,11.988532755315061,0.8411176569356793,10.203332787013277,0.6845227352068656,0,0,9
