theta1,theta2,theta3,theta4,theta5,theta6,theta7,theta8,theta9,theta10,theta11,theta12,theta13,theta14,theta15,theta16,theta17,theta18,theta19,theta20,theta21,frame
3.0468741776525223,-15.44422156282122,8.675015869714896,87.7629185160534,64.98247732030043,-1.3805417254546644,-0.4967932105155944,-2.348106856752985,-3.7208817272610233,16.764129748171662,-8.601529679762999,-84.33421669918792,-65.17713146331445,1.39398267297736,0.4449656228310003,-2.869782717738661,2.444404489604953,8.100669932434085,-0.04531288823855082,0,0,0
2.144966053885733,-17.29257700493014,7.1005141690815545,89.99164292170026,63.60453141424579,-5.699764393125718,-0.27248160467607374,-0.47948089170920266,-2.8347191105218172,18.701863427319342,-8.808754945893773,-83.4235304784751,-63.79046908147535,6.009381108596173,0.27200280680143224,-0.9218733527906715,2.7756485430969904,12.134592565942949,-0.20016061805847626,0,0,1
2.525896376067922,-17.20070904773491,6.780278720724343,90.21584707999362,62.98906679238526,-6.5212419549598035,-0.2206791650307633,-0.4186162271861024,-3.1288069925018793,18.996853760402136,-6.890497822301232,-86.84908028778162,-63.17039231724243,6.846036029831402,0.26316047826981426,-0.8102072522499806,2.6520325595927177,13.755853254668857,-0.11715108802770488,0,0,2
2.8532993594983678,-16.836394807351923,6.888297639163093,90.62811540152842,62.824875750343715,-7.24674118078644,-0.14439668305890765,-0.4820388485704658,-3.4031280935805133,18.725744249398524,-7.061489871067518,-87.24159019879322,-63.045953982840366,7.569539030939427,0.20282876894510987,-0.8553243755352533,2.537344813935034,14.580972409064634,-0.0975726327782904,0,0,3
3.0357433171829284,-16.780118114061196,6.8582903051918835,90.80683004497152,62.65232038675143,-7.671232812633215,-0.13166198455783332,-0.5428023684271585,-3.569520679828721,18.614910365841187,-7.12229120365894,-87.45602792457596,-62.94396740858163,7.9750880758575775,0.18805350068784085,-0.8967804267780919,2.383191354029246,15.131807176294616,-0.09198764636542467,0,0,4
3.1096410548040008,-16.773630729072014,6.860164315302817,90.88419451201288,62.52890936854987,-7.950663267738172,-0.11585516927343512,-0.636347606264335,-3.641870525829139,18.5825675557998,-7.171687596807066,-87.55942944226142,-62.842864074229084,8.254465557882419,0.19053552836437115,-0.9522427779235838,2.2750722617170434,15.253414591464912,-0.10118651956642875,0,0,5
3.177412753069806,-16.77940372180956,6.845222758747804,90.94606811181143,62.409226873783865,-8.162576451359715,-0.09736562284839942,-0.7634060499548221,-3.6869702649187333,18.50938380843065,-7.235647536889708,-87.64128472402876,-62.79064904785774,8.454086292463922,0.1628582626472982,-1.0847083644298663,2.1568757751367427,15.352187131180816,-0.11911731053839986,0,0,6
3.2090104888307542,-16.840034412042606,6.847203060280768,90.97523042179192,62.24982628686543,-8.34753782094018,-0.09336435867493088,-0.893232868758658,-3.6757320424131232,18.58537001226391,-7.28690510250771,-87.65117253001208,-62.647582759599985,8.64038982455651,0.1575009187909678,-1.2170954280048858,2.008674832509266,15.32369062142097,-0.10329218869216497,0,0,7
3.2038165568537824,-16.9495834551112,6.885922572802884,90.98301621257048,62.08482949371252,-8.503394698010421,-0.10589874634828193,-1.0138461315865954,-3.6492125523000793,18.658579489756946,-7.357507650918206,-87.65472636167695,-62.52320626873211,8.75937818752991,0.15327456695660416,-1.3095971707920935,1.9380523859918533,15.31378221779438,-0.13596028170569072,0,0,8
3.08638191280258,-17.22253173421074,7.003455733316145,90.90728000347234,61.8918785911818,-8.634379138441146,-0.13323271685607052,-1.1493869100801897,-3.51345080315844,18.82859458829105,-7.458718111440322,-87.5524949090236,-62.3960862192457,8.893212275196902,0.15661061533956852,-1.4480796448419406,1.9639136053233466,15.199698670690129,-0.177563454156258,0,0,9
2.9394685991804255,-17.34968812286828,7.22037596132509,90.85636756118414,61.84669237977933,-8.7097721675781,-0.1341302281122945,-1.2618217915370211,-3.3963670600758467,18.881743690925376,-7.653952877297008,-87.52551277123278,-62.41231718785192,8.947344012790255,0.1351968935810648,-1.5686896476862866,2.0034416495639698,15.057926907149993,-0.20859012660519508,0,0,10
2.85797718530618,-17.407010073132376,5.9064844561250975,94.16761225158614,61.717799332157085,-8.804772987156388,-0.1506646492828808,-1.324285971525285,-3.273528882617518,18.967666739159167,-7.956698478957258,-87.54686366327716,-62.3708162218014,9.021574811184296,0.12626973988217874,-1.6474346450624817,2.034599605690905,15.008573997744445,-0.24096095218257363,0,0,11
2.740407004688635,-17.36484566560843,6.408463069571185,94.3028934842692,61.782413702793605,-8.777825683283,-0.14158066768722075,-1.36514365912521,-3.183084371401855,18.860770693289048,-8.377088342050483,-87.67470313730374,-62.52274522610267,8.998503945224103,0.07410049492688899,-1.6701656985487017,2.076865022666937,14.866234993054867,-0.2585562650952394,0,0,12
2.5629889990161456,-17.34898808461403,7.179135157987253,94.5141870553562,61.84372374358657,-8.800949436003078,-0.15091971536865276,-1.37426714824855,-3.0108662741218613,18.93042529134598,-9.04448443955038,-87.8393300779436,-62.55087005895999,9.042989454189227,0.07262629782246885,-1.7322461191724614,2.1569145749580003,14.781521929082965,-0.2914597696645377,0,0,13
2.333622708950655,-17.291534875119986,8.225776564443501,94.82026389883791,61.964503963194645,-8.817391282475146,-0.15781454591661168,-1.2898032381794302,-2.796012855382178,18.871710563466458,-8.26390689992685,-91.31607104531989,-62.71705613918318,9.060093644822317,0.0564583885121443,-1.6561681595646585,2.1506357453559715,14.738274040976771,-0.30705087674253273,0,0,14
2.1243950182095355,-17.171383037562155,9.303526502528477,95.97680349871084,61.953932073197734,-8.933081858047915,-0.20419936800997307,-1.1452100851270155,-2.6094861521212422,18.772423695114103,-9.478831846768186,-91.7589453658157,-62.68004448318631,9.197155615860943,0.10079353861698617,-1.5295509785604824,2.145110089420026,14.780105781745906,-0.3199011292649863,0,0,15
1.8783972175150636,-16.73660928345565,9.891826077065492,99.52683512382961,62.0504229130064,-9.09354706146683,-0.2135434904428438,-0.8838101581175414,-2.3781967369175696,18.526396211575445,-10.013900781949301,-94.8490648494035,-62.66413996874717,9.434524406442135,0.1461045098698663,-1.3114736946483418,2.1537446071430475,14.921791440737765,-0.33366469047533726,0,0,16
