J17_X,J17_Z-105,J17_Y,-J19_Y+90,-J21_X,-J21_Y,J21_Z,J16_X,J16_Z+105,J16_Y,J18_Y+90,J20_X,J20_Y,J20_Z
-176.72120360440573,-4.401266918256644,-158.60162783834937,57.91029750141775,-0.8043319800076266,0.20848291148719236,1.641387686575291,-175.92627112224164,5.021350645958506,156.10979910835624,55.60608038707077,0.408725961719887,-0.22426903280430088,-2.0413848441132805
-177.73556058099737,-4.69503187492704,-159.50947664725646,60.42055113047478,-5.2758207126260865,0.13277316674656114,-0.3916670901291997,-176.8253357191844,5.554883354099784,156.7123778754196,58.069881791621896,5.385269039347284,-0.1965717834463573,-0.23321688519464434
-177.33451325517456,-4.971055945878408,-159.7165608732288,61.9783180377299,-6.269866481073708,0.13513414827981268,-0.5142252103076366,-176.56505015290722,5.912090153791837,157.03154453056746,59.840077194386566,6.36677477397156,-0.1641502786626193,-0.08981634315528651
-176.90017034403158,-4.593500665589123,-159.63776751276004,62.45942992219116,-7.108593450255303,0.052435768174672555,-0.4287651026314743,-176.3075484705999,5.618308605040627,156.99040079133317,60.37743701903898,7.192398149508448,-0.20606137512924652,-0.17065041278568563
-176.65767794046445,-4.404387557017576,-159.49362817574413,62.7654236148166,-7.602739013923048,-0.006429433750410534,-0.36287597207029415,-176.05209924957717,5.417247755607313,156.8585845667999,60.738871216847,7.675688633358125,-0.2384572335378796,-0.21780952388055955
-176.50740954114121,-4.343042263519836,-159.45872576640787,63.16377703889413,-7.9860033132339625,-0.046321036404187936,-0.23556328106015004,-175.88977301239908,5.338620499605715,156.79394246755754,61.17498001733897,8.022045185842067,-0.2461844171486871,-0.32555176603674413
-176.29120034363007,-4.2005425801360605,-159.34331144743223,63.06419627450302,-8.200448319906855,-0.1191023958258355,-0.12309640528680096,-175.78580452206225,5.190623518679924,156.70201524671296,61.24588133044582,8.224576842312482,-0.3019823778268121,-0.4171023568673326
-176.10694379812432,-4.051746043652195,-159.2643082411601,62.97960881563637,-8.33640195893986,-0.19149627330235422,-0.036074662665824625,-175.66754077212545,5.036602368204626,156.69108827579703,61.25498987440545,8.355313433783614,-0.3593496914040641,-0.4853259472495418
-175.90783150408635,-3.942676122763742,-159.1679591761599,62.83175045938599,-8.451231431724699,-0.25621659970108723,0.04095999338245896,-175.58351428390978,4.950417676528476,156.6897828747653,61.1200465152978,8.431824837567278,-0.4115571944812614,-0.5622146233213747
-175.79952777968225,-3.92681952323178,-159.15522911390127,62.71424574353626,-8.546510573986573,-0.3047746260884012,0.15038823621562386,-175.6020116309787,4.887699197203855,156.71549094844366,61.116325466468076,8.516450721998728,-0.45876203857590436,-0.658825730048142
-175.61696470742157,-3.815144558565401,-159.06482304893757,62.33452732293881,-8.58258532482338,-0.3842817394319505,0.21256076811230432,-175.51350573850573,4.784005828318425,156.70883436074033,61.016996763902846,8.5539900102364,-0.49626648979403515,-0.6891592484953919
-175.45262155691944,-3.6800075375013392,-158.95873132873473,61.952295121323175,-8.607832671423425,-0.4396116394555306,0.25211565838684297,-175.43979923444124,4.635817897611884,156.75834784566587,60.87762897549466,8.587381174609545,-0.5278095879382482,-0.7420926559119622
-175.25457629583516,-3.612981286414074,-158.90566821369333,61.67456855611022,-8.627926070849828,-0.4759549505204605,0.2979515759470403,-175.35441132239643,4.49098483710708,156.7982148002174,60.82237122346598,8.66198675142475,-0.5362599523914218,-0.7725889350759488
-175.1045505201658,-3.4798276810701405,-158.89559443165652,61.28217165774796,-8.647155783738233,-0.5293945449758322,0.323521017123184,-175.37191750968083,4.370982348389052,156.86434754951262,60.657921155937274,8.689848425598383,-0.5712767371656161,-0.8139173855615762
-175.1435950637746,-3.3681583208392047,-158.94693647968487,61.012118432254795,-8.687322779070335,-0.5639110803963918,0.4051822440258652,-175.50496060934833,4.277237543634621,157.04702003893746,60.49956872216619,8.743094800769596,-0.5854242486237294,-0.9009161978144303
-174.93633736896047,-3.1999974366925676,-158.9346734068868,60.71826821990928,-8.69930866966797,-0.5912549180972586,0.40376359248148347,-175.50086037928514,4.1234434515600515,157.11785497777555,60.347977991465996,8.784628633654112,-0.6130148083842908,-0.9131150580847724
-174.76303686364867,-3.0485790495605283,-158.908449765601,60.587289498813774,-8.74996377925628,-0.5930079008837763,0.41114285995204686,-175.45575131578144,3.975633761271517,157.16510463964866,60.21420256884455,8.835539655539439,-0.621676674425143,-0.9416296713237239
-174.65651633295866,-2.944126882037187,-158.96648200898343,60.47000733452759,-8.777435415994027,-0.580873358887957,0.40659218904884253,-175.3802096245648,3.792648195259207,157.2468963998731,60.00071078182543,8.85986510809748,-0.6349840940792798,-0.9439592319551117
-174.48410451431002,-2.7891058277447525,-158.97218779178348,60.19291048038242,-8.78437113240802,-0.5877497341244553,0.35710403325538265,-175.19685843054074,3.58548241538589,157.24194557552454,59.56417223857853,8.849578717487589,-0.6607686402591743,-0.8731208833866553
-174.3931663025825,-2.700759229947853,-158.91165602092389,60.099360045725376,-8.84713700870418,-0.5688620251647207,0.35021068101537084,-175.0740868227821,3.40624398745663,157.24827081828582,59.3278511052181,8.907186480536916,-0.666133100850324,-0.8646553585042477
-174.305495528426,-2.578769673330726,-158.88537560146062,59.69641131321088,-8.840153431430059,-0.5821082703287302,0.29759992216876807,-174.9499744338011,3.1753413744214805,157.26806016959375,58.7018632714088,8.877945436068634,-0.7097683304515964,-0.7982868712709003
-174.18045547636032,-2.445104909360676,-158.88690052572952,59.47931265600667,-8.854185104346334,-0.5728728503306298,0.25036720983162014,-174.77394127810825,2.9960073684802024,157.26346584857907,58.26293107399438,8.883028043000373,-0.732017313192633,-0.7353920525051333
-173.98155396775,-2.2649384090090736,-158.82706577926018,59.18727485317605,-8.871623173475207,-0.5692764244706091,0.15210220784563366,-174.56229359203397,2.764328176383622,157.22634081560284,57.59396072904502,8.840815763563846,-0.7651740939444042,-0.6422852534675654
