J17_X,J17_Z-105,J17_Y,-J19_Y+90,-J21_X,-J21_Y,J21_Z,J16_X,J16_Z+105,J16_Y,J18_Y+90,J20_X,J20_Y,J20_Z
26.181839670294146,-6.249436798363448,-17.998475905128213,63.62391736265724,4.076817007022363,-2.9377833895812016,-2.682067536473433,-161.3893086530566,201.29928305578918,-175.77926918059538,63.35870522013958,-2.613563976268075,-2.40352595343317,4.111803608032143
27.62340300284079,-6.4211285760656835,-21.978934244681536,64.17954936653466,1.971890707315279,-2.7164167969521946,-5.099322206725126,-161.84993731185276,200.4720127369248,-177.1813328536231,67.49135525292917,-1.6856900595154545,-2.4468442223666758,4.905772016332683
26.906633008026958,-7.041111736554356,-22.774592951029916,61.2859547686066,1.4999506563394256,-3.1660077403795754,-5.370421843627979,-162.9391988572005,199.99068598503317,-179.34379410187552,68.57353294189176,-0.4961297136546437,-2.5220054172318145,4.393318067293963
26.393319283814527,-8.830640279022674,-25.513071359703257,55.823986214753084,1.8526188119087188,-3.6934013506492325,-5.687920619521613,-163.69316133646547,198.91516501532973,178.33206171369923,67.77995441269331,0.09153504951674472,-2.6413717130328447,3.8588693167849373
27.155002837314676,-11.30378677780459,-32.5703868284358,52.760029589954534,2.1586335240684194,-3.961957927991163,-6.395878948320952,-163.52676479013576,198.062409598468,176.0707190451297,66.37104746470462,0.32070666712877577,-2.8263536132237754,3.263424320630097
28.860007382605577,-15.230008389055513,-41.29922458269564,54.575448685198985,1.5564869619444137,-3.921627014608256,-6.4886563228589,-161.93471379982563,197.22385099501415,174.9687601693629,65.57038128319239,1.0989664326848718,-2.903711398174737,2.3458437784309294
31.020710497279783,-19.174732470513945,-49.58388240545443,58.230667009007846,0.7536023933398535,-3.7009351319229262,-6.274132443765057,-160.95138292520252,196.75602056927144,173.81915759508527,65.4081467233431,1.8355436529545808,-2.8970833447000843,1.4233725569944156
34.78577932347634,-23.72070748947563,-59.85497949812712,64.87014485888506,-0.8341910001716006,-3.285414092018709,-5.511878140150119,-160.12671508476492,196.24721738280715,173.0921906793121,66.70777267423603,2.8282108514365367,-2.7583917203957298,0.4477214406918008
38.76590360098479,-26.92182092415993,-68.32638587395401,70.663313008915,-2.438907022227376,-2.8725308946625554,-4.529236398711887,-159.09207747910108,196.0908782140581,173.30314965351948,67.11479690784435,3.546137510095572,-2.6650734051280844,-0.376428073540514
41.71733059546949,-28.439904607161054,-74.28148473028551,74.7538395552493,-3.956509670458833,-2.4312735603340525,-3.7693226344814232,-158.48061739848958,196.42149902104205,173.5266151815786,67.1056269861574,3.945617192816751,-2.590972979905392,-0.9963350953204854
43.560925447945834,-30.56785797252323,-77.47911119085973,75.67697998521989,-4.9770790616784835,-2.391539628366383,-3.1862332520552368,-158.73944106229507,196.67961304148645,173.18177771210918,67.29264134558753,4.3064025135985196,-2.6676988770372727,-1.5157684753377856
45.378545732310236,-32.28315851831988,-80.75000795362851,77.37549917712099,-5.9026055454792905,-2.2850056659182725,-2.7824874663384973,-159.0623741893348,196.86571364798476,172.84333862578416,67.7587630117012,4.454871581360202,-2.649043765572649,-1.9340994631281836
46.79305114159797,-33.81855899579733,-82.8316873309361,78.19952491019046,-6.727715876303057,-2.251614679313398,-2.3674469768618662,-159.90375247994672,196.61464433260485,172.22464030842787,67.91630595927225,4.5130141035798665,-2.7393141539355437,-2.381407969693641
47.32706771522697,-34.88926308745263,-82.6761253270745,77.42739533452259,-7.307479596096345,-2.3759665258694076,-1.891097863575889,-160.57611582150975,196.44290558736964,171.6846027154746,67.87787992867418,4.515239070880477,-2.768983242125506,-2.659491175634392
47.155800798742355,-35.003838051353085,-81.6535717814409,76.46853691952685,-7.7955933667366235,-2.435446767666562,-1.5699557197207343,-160.9614232398334,196.46207139606935,171.33502000829515,67.99431974829915,4.517796063468473,-2.793320170311492,-2.8731885175987526
47.017721151614545,-35.65405388215191,-80.4812683679635,75.24919081814615,-8.204940359375081,-2.507647035152552,-1.1674780936092681,-161.16378286268974,196.27480163633157,171.45019325999402,68.0825196803782,4.609008232354376,-2.8363067348668545,-2.998445295722417
47.4345259664764,-36.0978422286734,-81.16193335383203,76.57729240892702,-8.87971085974763,-2.272878027703946,-1.0118448593253122,-160.65424935071306,196.32870139165414,172.14897528687462,67.45000401770581,4.633605236267621,-2.888689692131794,-2.9850537149738376
46.63727845754909,-35.368386522244066,-79.58771167311163,76.10269141260756,-9.181779569115063,-2.2594481283495718,-1.0683914860946497,-160.37453692887317,196.4570931307303,172.89839094799368,67.12014302963965,4.670317758548559,-2.9503857443688912,-2.858924183086397
45.76187839316058,-34.94394408221952,-77.98311656560243,77.75503203915085,-10.003019397911796,-2.1045512075453803,-1.164912846280324,-160.21260289023883,196.57667670672242,173.5316995686482,67.34102282356446,4.799539168002117,-3.012624442013399,-2.7091380373805847
43.85300263623893,-34.27412569836342,-73.8951726723185,77.32433559185165,-10.343046161668335,-2.1335500769046662,-1.4326111334850524,-160.4894163874688,196.53728274305809,174.1247525012948,67.63990158264144,4.782539155030824,-3.042715380480774,-2.360925142091605
41.55440201844216,-32.52006530733705,-69.27529315431624,77.25596962199708,-10.628879526031751,-2.0470103710097534,-1.9365963454967223,-160.5984336411941,196.80282498505886,174.90545227754012,67.81866084844205,4.620846564366398,-3.042824934336318,-1.9052159851860722
38.14005826019527,-30.506595674231406,-62.1829076391664,74.78891020793519,-10.544192389872146,-2.2825101997645447,-2.606901710917104,-160.88169973741995,197.20238658514864,175.87215377702918,67.35752201266202,4.403870125886822,-3.228594627828393,-1.1840375440515583
34.4368714291999,-26.14796734132281,-53.1286961404055,70.13596497795656,-9.895197930914843,-2.6949967435990105,-3.34552048933552,-160.96606613182567,197.58664626131602,177.38666462544015,67.1868408260995,4.36704580193077,-3.250960055655973,-0.23450220601094007
31.702369226796197,-21.551747605839367,-45.42046998632853,68.17848336954988,-9.793825289753022,-2.865585216626508,-3.8566638292920707,-161.1711838077617,197.69673419421386,178.62794376826358,68.8616451067269,4.676269810573167,-3.0351375450171245,0.4549185779996313
29.240692953929937,-16.233511937364383,-36.36238360798902,66.01799824050988,-9.124926144068834,-3.101632755107943,-4.301603673599282,-161.0996676740808,197.820626123915,-179.41410516947008,70.19802114922595,5.050214668241325,-2.9271157970386326,1.4666051049060334
28.147450363039585,-12.926197314794194,-31.220432487977202,66.36164640364011,-9.025636366934638,-3.034755797766712,-4.571264574150438,-160.4916096059897,197.7688112591187,-177.40365837039604,71.36153366271776,5.567537846694648,-2.7962574696806137,2.108204080584425
26.74102233749791,-10.793469481315213,-25.61614570993597,68.2001494925975,-8.81282675737616,-2.8977856113488856,-4.636503453308688,-159.876830182946,197.50243375211028,-174.66873532196078,71.99207170571898,6.0439893723328835,-2.6826856207635053,2.8937731519996226
25.72333526994472,-9.988403017771333,-21.41896124130529,70.9313079340067,-8.754045872254776,-2.6386956386784135,-4.514595019770009,-158.78635797000751,197.44140248314343,-171.54312180566478,72.50067366251989,6.561564210061019,-2.568979980712193,3.583173985863377
24.558473360005753,-9.845957017756746,-16.282134100887077,73.45149164647394,-8.756904520570954,-2.406449238722264,-3.9893140079299343,-157.58836723144015,197.1015442611466,-167.8747798735924,71.89640124594655,7.051353680462538,-2.543521406161348,4.319255766009002
23.50958670035264,-10.290727352189549,-12.294668105162941,75.82924024791367,-8.775646025555325,-2.13966811046175,-3.338105605571991,-156.49195291729077,196.93130011149765,-165.1772597990084,71.13099764087843,7.4233539280537935,-2.4944275051816307,4.557232698624902
22.460382648900826,-10.811379280203738,-8.867919979360464,77.33093406123861,-8.66313429873377,-1.9327813984233635,-2.791493714688991,-155.41887436301508,196.79051072602374,-162.4053839726758,68.76077934829271,7.522603462192613,-2.5829678662465416,4.7213759218143165
21.08746742307018,-11.37330270886062,-5.405380793639455,78.35214145249739,-8.451387488655351,-1.7572385178704317,-2.1601342583518672,-154.69918547787242,196.80478351019423,-159.93452633140055,65.98438172316648,7.463464788561303,-2.721709456455382,4.873149635079433
19.659779225178156,-12.349974413066136,-2.258708169733617,77.70824506937515,-8.031045343886579,-1.7695278612092913,-1.5913554938852486,-154.3024027982102,196.30422835232042,-158.14275045881047,61.187567421676704,6.913775116511343,-3.0781416938008572,4.92830032059891
18.19944957328288,-13.592659906128418,1.014556910731459,77.04970080368571,-7.474701140965256,-1.8302385328197899,-1.1047124847129377,-153.3563678321959,195.14694644906734,-154.18066593305267,56.473574463726756,6.355146264478296,-3.5293420517838223,5.260532220348565
17.390870202299233,-14.84279363379116,3.8817828254062845,75.53274171520196,-6.8850187424625044,-1.9543473125928337,-0.7018891167363125,-151.54205276288297,193.15380741411997,-148.25077588196484,52.060012066357345,5.893587865907781,-4.0284790163437325,5.6736537245172665
16.20341908438055,-16.721128300883933,8.148707840215446,72.47089670868715,-6.32935778450376,-2.387984641892151,0.15179188837781912,-150.26814334458192,187.07815308695288,-142.9141866481481,47.665495019119284,5.562125571071736,-4.622815303202752,5.2555059242015325
16.063567992926426,-18.503732389021195,11.629287278633122,67.94067661721814,-5.944504206190208,-2.950144536752346,1.042993470527561,-147.93928391623706,179.92721802190408,-137.30128472067864,43.93240483995643,5.422124549454654,-5.149490091811817,4.265019928070626
16.076612238954475,-21.193138509398665,14.270212617648564,62.60101050131092,-5.5733007538304875,-3.629099967022235,2.0008616808900945,-142.63557662768105,171.51045256622757,-127.15779455522704,44.13460546629671,6.421164309395268,-5.336268351705813,2.920648743486486
15.794143502635928,-23.21311054469112,16.290472771653807,55.000075468181116,-4.985926563776249,-4.435616304115119,2.7383084428661912,-137.377443520034,165.3602103519637,-119.93743757886918,36.383828100181226,5.827556129271963,-5.991517627609074,1.1565735160189052
13.773259465865138,-23.49636634263068,19.21285085788687,56.93271802227273,-5.480167428484008,-4.504319733550006,3.4318628335983212,-129.8696231912829,161.31254881610178,-106.21761314435449,43.13926865230783,7.79144322299093,-5.5216152942809735,0.818717367897585
13.735832522449401,-23.04821648253089,18.49111647778452,57.14666964150553,-5.650296742500734,-4.201759487837944,3.1494932418873383,-126.74406566395353,163.61533920145632,-98.76197232621908,48.744202722977505,8.888425702428842,-4.751798612923288,1.2176205683904622
12.019860002644169,-24.33436590619182,20.15132513689363,56.48835560652301,-5.481372589173671,-4.344953476290139,3.4988684469092304,-124.72442135605814,163.78134476441446,-94.29111926081202,48.71537356691646,9.21944743182878,-4.557123839443206,1.4542510759581107
10.246749661403314,-25.841872036227798,21.75798146484236,57.6807219162208,-5.731499321202887,-4.4037176293210845,3.821367815931871,-122.60866040487761,163.34392315874072,-90.90208769112566,50.05253033363217,9.916872282259845,-4.4766454955315185,1.3885380299533676
8.786548351197531,-26.41136561706402,22.75252092139262,57.955829984577385,-5.813892011253516,-4.392195643754722,3.9565937973650898,-122.50715774967337,162.74962611230276,-91.18282905963758,45.72343825795696,9.41826572390463,-4.8059403978052515,1.0785584561312322
8.40275407687871,-26.036307135281405,22.770346547952563,58.533411402907404,-5.895463072357154,-4.315608782753029,3.8336922391671595,-124.80844257583563,162.4076972719737,-95.5492422689696,40.881372739847365,9.017423105326571,-5.07554856609182,0.9627447570449046
8.748942764941399,-25.924828978853668,21.919768525868776,59.61836476534536,-6.149711678162554,-4.109171164453115,3.754231994218946,-127.29315718492477,161.9069559007646,-100.05859088607679,44.21431655101522,10.151728623386527,-4.6032622846497375,0.8648308581293658
9.834363524287172,-25.81647810569615,19.846640485627756,59.154728745879524,-6.256013651456672,-4.04532091511868,3.366227603383208,-130.31141818580556,162.3451420165665,-106.06303207616705,42.54287380842216,10.459185201664896,-4.551168054289292,0.5041778982882243
11.416703488043392,-24.906277080626168,16.65756076633861,60.08198421185395,-6.473430971286642,-3.894691933923076,2.5360905413406334,-135.16048367441707,164.26163690437485,-114.65803247380794,43.462999691236135,11.150587485801234,-4.276656026320448,0.7504880532225433
13.15814086177225,-23.861634409924847,12.6731049951032,61.87434026320436,-6.923196954508936,-3.6590096607095637,1.5487160164541351,-139.71980045093707,167.85273487902487,-122.64862639601823,46.4343906613921,12.022920539266952,-3.8874748036717284,1.3171332542616636
14.469780571962216,-22.9220645749013,9.238685041591548,63.8645310573169,-7.470288641671482,-3.429393160100848,0.5905810570824366,-143.7254013575341,172.00819337436008,-130.2254419628114,48.80760812793334,12.971904622022274,-3.6226019937511387,2.0591660992837637
16.144340909921073,-21.746026395550786,5.401202874984277,65.16674412950103,-8.022880487827106,-3.3474617299768465,-0.4508222512264057,-146.98584366839233,176.75520786677265,-136.6909335346457,50.54409150158643,13.544853905374648,-3.5280853800217007,3.0278613494974578
17.76109871235305,-21.29698226577092,1.8311851640200596,66.6251319594688,-8.731053241932333,-3.3159682600250986,-1.40417638830743,-148.25614057832314,180.21076378023605,-139.56251675385812,54.61111474490804,14.52015750963729,-3.3069641606822233,4.019804197398834
18.840026713093224,-21.031238364325603,-0.9759674524997984,67.93810185190645,-9.45554472039793,-3.3132534320517872,-2.3049602743892734,-149.47057437153106,183.04470690985954,-142.58813692605221,56.911341337541366,14.913688645653577,-3.3531365130744386,4.772386347351245
19.923891221266004,-20.598361133239223,-3.7809956199402315,69.05667236165765,-9.936555364450598,-3.303455170056176,-3.20486447429163,-150.41971227089897,185.5174330709538,-145.58424919097357,58.80134529057129,14.924503794784686,-3.4132431193636377,5.33384484209344
21.078682956479508,-20.012466019149215,-6.678079785521217,69.23141476169873,-10.134858891752549,-3.34472928729437,-4.194242408993812,-151.111105775092,187.6102946451058,-147.9275908079017,60.621822107960185,14.815637973712727,-3.4778782587770722,6.057877821128237
22.14216558671414,-19.34368883384765,-9.459262983007584,68.65729643367087,-10.20109913396501,-3.4366333615211286,-5.0120452749282345,-151.7821944989692,189.2563560569497,-150.91392353327913,61.73507992587369,14.626488869891618,-3.533178455801595,6.3819359470470145
22.96866043012502,-18.593807606662253,-12.21055450518264,67.23567020123437,-9.982837360957008,-3.6969895026261237,-5.868816476496252,-152.86238495859698,190.34932527993936,-154.39569358879277,62.10691238046831,14.121718110512019,-3.5930382773944256,6.597205572255971
23.470184115084265,-17.543014503689733,-14.840599208035487,66.00946553960961,-9.705384590928352,-3.8487498794556885,-6.523652288591243,-154.2787963591692,191.20311891016192,-157.89251359214418,64.10070235794926,13.745448288774623,-3.4437922564764656,6.692144650674561
23.98768204506292,-16.463367693597277,-17.35805333387848,64.16281279055738,-9.244412926070186,-3.979330667076019,-7.171010052809827,-155.15638314112516,191.99219473825178,-159.9018006239924,65.82142964396012,13.339901122721905,-3.273423746250159,6.807479723326826
24.855589668577423,-15.711664355473488,-21.03015562154405,61.6974671750645,-8.83079480954112,-4.1727166191736265,-7.757593737431789,-155.8132136168649,192.67403249998318,-162.0698510178698,67.48584057387126,13.086961386611359,-3.0950402345390806,6.748233777341536
25.45812900928471,-15.469605043775815,-24.247138075149564,59.28044325344691,-8.469100484126558,-4.387117962281863,-8.088612785574737,-156.8450591843642,192.9665736657418,-164.7107568870911,69.007493687055,12.766689664756521,-2.8452706985486724,6.511292593574806
25.340618688973564,-15.785609701309937,-25.5880725256489,55.38594963267706,-7.857648008631836,-4.695797681808468,-8.104235181080467,-158.10230812326333,192.89797478504164,-167.73278251386225,69.71775034277458,12.529366485080836,-2.669179816187769,5.977866518493727
26.299916841641565,-16.220595508549593,-29.699256961809162,54.27113187559051,-7.608540438502759,-4.846993195233677,-8.214991623844798,-158.64556577978803,193.30300238143718,-170.05354786881094,71.01073609956116,12.301830517596422,-2.4256738063732586,5.4590633834036755
27.102598865788813,-17.669483302816502,-33.42268182832022,53.15764127060577,-7.5216414292510345,-4.989630270493245,-8.221337689611248,-158.99061680199648,193.17089969727851,-171.92390387282708,71.0071704644867,12.189197759874956,-2.3362269656823105,4.963571284517079
27.484863412369258,-20.404363347715076,-36.35457425055377,53.87216390231287,-7.789885709543776,-5.007000804090076,-7.9668819612156,-158.93292462723284,192.85635339625014,-173.0119200138224,70.33314307038992,12.178505649254095,-2.391128460881201,4.466945548290277
27.977852467162958,-23.524179745920364,-39.0556497278414,55.60431604481114,-8.292211286467976,-4.951069273279175,-7.492864236348133,-159.08616439698005,192.5853353324007,-174.3763157356207,69.60903961638948,12.182260940905682,-2.509301307394179,3.871029470766767
28.4957329303545,-27.00662277199703,-41.518918426885975,58.273777826954834,-8.93412801026706,-4.839274963348891,-6.96788996058349,-158.83114398626233,192.39986622656374,-174.87063392343546,68.45653273976757,12.09008429067218,-2.6567538119352796,3.4863740691204623
28.568264799479838,-30.76574118399205,-43.120051038724796,60.20818838125558,-9.366423487598668,-4.804021210578078,-6.311955068802395,-159.20037778061425,192.28294765853283,-176.6815708610799,68.34069099904949,12.158546722475576,-2.8178317339469623,2.9115646067606535
29.22765937877968,-34.586106931910365,-45.079853217486786,62.72987615980324,-10.012306172023141,-4.649387238622855,-5.491904372144602,-159.2261627515579,192.37214090377415,-178.2531615457692,68.07040805830694,12.278442371144848,-2.915109313738,2.2426364701924335
30.490428356108584,-38.19834884051045,-48.32912401523734,67.17225310771067,-10.865452764238794,-4.234140859495426,-4.776666848806523,-159.1848612238216,192.7591000401653,-179.3950353166873,67.96491408716054,12.303001221685442,-2.9319408470823523,1.7130449897556268
32.577040559037215,-41.91349633650911,-52.446623945479125,71.49757105915347,-11.90573684653495,-3.8446842076872945,-4.064091650929806,-159.1510828755902,192.88862971989101,179.56675104045715,68.26890626137453,12.441547099678488,-2.9351606674997206,1.2466462223539356
33.554650599354666,-43.527212132466644,-54.09621860420276,73.63524001105466,-12.297963390596838,-3.5677795850176186,-3.766194036036561,-159.28533422620058,193.58583697497278,178.8103746121997,68.79987934519781,12.384128894848576,-2.819169234449626,1.1125904290752837
33.74877468492376,-44.05939816674958,-54.41885735803801,74.08306897762318,-12.437794617489098,-3.397488662973986,-3.566982975457246,-159.5414159473652,194.2683947871168,178.1067984065328,69.51882404119992,12.260099364064388,-2.622781830727786,1.003330176455209
34.05897157517302,-44.696796632017396,-55.415809358041486,74.00360043454106,-12.21627279198515,-3.2395877735669627,-3.4643403341042256,-159.87037594818682,194.9627617317461,177.4485950954732,70.54722637822537,12.091215052345817,-2.4102357865883883,0.9120864028157578
34.397813414646905,-47.526086448235276,-57.00024141775386,74.64853726400196,-12.214463453909957,-3.1603029981925763,-3.2721073903317444,-160.37848627268596,195.18352346880314,176.79356088044977,71.38838392264873,12.072874633419014,-2.291180736354381,0.819162971303403
33.739378624395194,-50.649116484706184,-56.39225869414182,73.78573012104847,-12.054906794944474,-3.2470818753851196,-3.085190087609699,-160.97229314421702,195.5728100749108,176.12506603017763,71.50071720263806,11.984158869150908,-2.2963584588971573,0.9060363440707244
34.301009596442995,-53.70030028242939,-58.33835491902928,74.01957736492741,-11.9391148413066,-3.2546520685818163,-3.173586358423027,-161.37104138154916,196.01591076526347,175.4951425100713,72.03962276208732,11.817924209701012,-2.289135568323036,0.9830489446383247
33.3980474643083,-54.91818783074509,-57.72438692640004,73.69588188750346,-11.372861745620547,-3.2985882839136007,-3.417301359467283,-161.97574981527876,196.63026150063456,174.646762169923,72.6092854186555,11.619031848398393,-2.212882058262761,1.0453916745439595
33.27443454077786,-55.614230495048844,-58.692849469922734,74.81964538318844,-11.114920876162488,-3.123557335079352,-3.796261001590316,-162.21500973357522,197.22965963037734,173.9043889475902,72.9627728473672,11.247674457896832,-2.1347968049057995,0.9862295619520646
32.60450159588065,-55.371745348903616,-58.61224056074933,75.40367760347598,-10.74405297915819,-2.930188464048718,-4.196934933244377,-162.44539057872203,197.75110756838748,173.3841426230262,73.13483171628886,10.893834898464563,-1.998876388782339,0.9770069556280077
32.63902758231773,-55.78313135400015,-59.151740685372786,76.87467167572873,-10.665140858897686,-2.69506809734786,-4.286522521482582,-162.17946760652944,198.15812407904184,173.4624345737005,73.22743474300704,10.79656636251265,-1.895707448322508,0.9761831701539881
33.06157572239723,-57.320988505997754,-59.99323046177769,77.60554287722616,-10.926166252810832,-2.5500462254610463,-4.068438935841278,-162.16050211543302,198.06933636783398,173.67826307999988,73.12426542170522,10.696564902285127,-1.8566157434973127,0.9036832755555146
31.977561333906074,-57.0155958541199,-57.76336177451644,77.17663407693176,-10.949622726765812,-2.4872552442858953,-3.677349550219251,-162.13762003143836,198.2747889310737,174.0458835451987,73.20473399247699,10.627132000524677,-1.7604432045671714,0.9743829449312883
31.664478327984014,-54.75011504099445,-56.38812778730811,78.23067454204397,-11.096187648654983,-2.279122970906274,-3.566828981838756,-161.3324918015502,198.5317803521225,175.37073894455008,73.2391914715642,10.493260583014278,-1.6288576001843549,1.2087197275121035
