theta1,theta2,theta3,theta4,theta5,theta6,theta7,theta8,theta9,theta10,theta11,theta12,theta13,theta14,theta15,theta16,theta17,theta18,theta19,theta20,theta21,frame
13.813070634015721,-5.899908025193748,16.212194588486188,82.28895392873586,64.96922391179586,-0.9804007735948221,2.50728406292344,2.154594668250981,-9.024394271068518,6.545184009714401,-17.936815437580066,-87.89545968825146,-78.91158561156932,-5.119682740587686,-4.51864468709003,2.4338538561748466,-17.739611864139984,17.545132317812705,0.47373802396866904,0,0,0
13.741434756226981,-9.1271505447661,17.96534109989676,83.51505680696755,63.49057256385437,-3.7501986735134336,3.6275907902396143,3.627096545009691,-9.458392174893945,5.336083359316399,-20.549347624843808,-85.73917060023354,-80.1186916335063,-4.2725984260233405,-6.146425575911876,4.298586760138313,-17.562952819647634,20.490228507132965,-0.39757324601167443,0,0,1
12.49319975616058,-12.723382840570988,19.197075127489903,87.50984038847957,63.69182999912458,-4.391485954118372,4.034698044790192,3.209972129825854,-9.204863236865886,2.9266189623421117,-24.950617393504313,-84.71724356692722,-87.74339128311605,-5.332229700240517,-7.481378259351967,4.9009891094952165,-15.296899265413813,21.53842181568798,-1.9430946963710967,0,0,2
10.69560666473453,-15.407888952679087,21.68696807423784,91.97300088192203,66.3912482161052,-4.944682143012288,4.641776658722546,3.303191488793559,-8.217941882934063,-0.5328977132975268,-30.247974182752337,-84.45721133734763,-100.07475282554088,-7.382314001452459,-8.91730453373619,6.233764915178209,-13.59703712317575,22.231693446578014,-2.970087806225546,0,0,3
9.169408578657997,-18.747034998560842,26.76359478351668,90.08720070457352,70.29083085641234,-5.120339993647848,5.56851641700332,2.7182968037785953,-7.962912864609543,-6.524159037536848,-34.25775472294197,-83.39148947404848,-112.02892428345045,-9.125317327446059,-9.830181982577576,7.419343691483128,-12.756343230966646,23.208947055767734,-3.0622975260935523,0,0,4
7.736607353065865,-23.61378802627949,30.805224721619794,88.33700027679932,74.99988056067153,-4.764430922233483,6.855218580926967,1.3750305309603181,-8.143105207745528,-14.65132278324534,-38.82567125204958,-82.57091821480014,-121.02940884029374,-10.284050012365269,-10.314003638396022,8.421114018798765,-12.76547933039665,23.62738453792414,-2.890890108933901,0,0,5
7.008009303072625,-27.94559051344602,36.39440941481504,84.27711408315423,80.41279212075698,-4.0956966803900645,8.180297231513787,0.1972479586540092,-9.383734792171118,-25.566932468328496,-42.45437172737135,-84.29276171504956,-126.4997994228512,-10.247111379326006,-10.244213689632653,9.655501966346566,-12.278511466244353,23.397688671049888,-2.842650188733505,0,0,6
5.315044464447414,-33.53195747332556,40.00134200941987,83.26609382124374,85.83851621389795,-3.3258055743508246,9.66218420130132,-0.6319048785898532,-9.140325633172083,-33.16282713714917,-45.06643377867199,-88.70399441202794,-130.31178358568968,-9.841627073978216,-10.264529438866248,11.047997456804222,-11.718981346349763,22.894669058230512,-3.04960627594937,0,0,7
3.8091068538832547,-38.57307486979698,43.66779033433177,82.5101264868142,90.11665838284802,-2.7682761474044733,10.822535819740107,-1.327172091313867,-8.532437089493655,-39.20139154561634,-51.74808550392476,-91.50709882563879,-131.71984208392658,-8.773869400303427,-10.258719934066225,12.036598131072315,-11.2742416349497,21.9792539287229,-3.251103949446428,0,0,8
3.1237582020447707,-41.39745608680018,45.5998923990924,80.38709965179882,93.05754969748932,-2.3450103936806572,11.5479570669809,-1.8144572306696303,-9.439742343365223,-48.1646934716737,-52.05514369915287,-94.55516761657184,-133.04365242880795,-7.846462220547957,-9.866502072858081,13.551041296463815,-10.410965915316307,21.175785473974624,-3.53202300180257,0,0,9
2.8358548429147437,-42.40255636764843,45.447954313716416,80.60540998946114,95.24552994522274,-1.9550381782581143,11.996966444328773,-1.6784153367390164,-10.037144839120389,-52.94703422500432,-52.69855708574066,-97.05206599932913,-133.16557858029768,-7.219200953838037,-9.652450669241786,14.88970766404234,-10.456600837954872,20.79360016745066,-3.5960930072282684,0,0,10
3.046027874525675,-41.26333599209317,43.78665837082641,79.0376348064015,96.68302438387195,-1.6358754116798904,12.215527613004005,-1.577827371264278,-10.730320247417474,-54.985791422369786,-50.74130717613716,-99.48070517741505,-133.56445320196244,-6.807069376875101,-9.453603237596603,15.813638259616715,-10.21897323666141,20.700067953572983,-3.7161323928337966,0,0,11
3.8367016719037528,-37.438429527978734,41.39209500669703,76.43115449846087,98.65139887850397,-1.058345704033149,12.427102958220118,-1.0497384110910044,-11.186511143403564,-52.50796831456981,-47.69166830609963,-101.55739415577708,-134.73945995931217,-6.8219071221938785,-9.452198945883971,16.346508511997044,-10.279241876351394,20.751732374819753,-3.8558735267253836,0,0,12
