theta1,theta2,theta3,theta4,theta5,theta6,theta7,theta8,theta9,theta10,theta11,theta12,theta13,theta14,theta15,theta16,theta17,theta18,theta19,theta20,theta21,frame
14.773591599258152,63.22939013286089,41.89617520046686,51.94797964840452,140.18274942792996,9.28766088322684,14.269988525866784,15.677954113829077,-13.983884273647632,-57.19982372489641,-48.25274905262469,-52.394708445045964,-125.78696588261708,-8.550723569740487,-13.610178491574825,14.797105984791385,-6.2274954989699465,-7.152464576232896,-4.552780852213079,0,0,0
14.375575985753999,59.50322312724837,43.58270605575452,57.52993431727989,137.12275743646447,9.49131882743226,13.579860212981481,16.481528866567178,-14.174496924136117,-60.33579104193018,-50.16845617268861,-52.96146122641785,-125.55342571653216,-8.709061320223325,-13.80135125345052,15.90490016272221,-6.562303032374174,-5.637710527515206,-4.2952846542414305,0,0,1
12.599553485500495,57.75217054193956,44.307383378029606,59.37368059188072,139.30428201281055,10.276249913762832,13.873002153838751,17.551853526246653,-13.403787769701987,-61.64561454138489,-50.412555810488065,-52.8885533458613,-129.21694861594113,-9.28522510410752,-13.728627045855408,17.29688868258448,-3.9294466398949375,-5.135468781821209,-4.766934952402787,0,0,2
11.867530522525318,58.20704478868888,44.19036821034087,59.3272360832193,140.81442384649384,9.495427005936882,14.419363577354291,18.317755255554918,-12.627132081821713,-61.23949588671252,-50.407111287224566,-53.22481978550608,-132.17440301770637,-9.37956979835869,-14.040030016172162,18.09964433646434,-2.5479336792491134,-4.820936710063226,-4.939056209509332,0,0,3
11.427835387158455,57.79334748413701,43.329092222780055,58.68470944097194,141.99142546110886,8.970149673208791,14.642982645272387,18.596367388811228,-12.098074166448988,-57.21984294168875,-47.349936748084396,-57.26517840761437,-134.4951756534383,-9.458403973220129,-14.182074179231053,18.478302699697846,-1.1044881925926227,-4.341190327169585,-5.005987367181309,0,0,4
11.23798344898878,57.358690515897045,42.57546386695678,58.09025273541423,142.38093441123576,8.53390337300387,14.75512689906416,18.549399621510307,-11.697805444292378,-55.93049588308057,-46.676785478754944,-57.06649654381972,-136.0424122577441,-9.500206198766335,-14.365159121367386,18.51993349787643,-0.56341824697253,-3.738104451815991,-4.983802965501838,0,0,5
11.226705952895442,55.36950210966322,39.37172045304761,60.84929674692589,142.69801381807355,8.246218143927436,14.842442282756775,18.29667103390786,-11.605962451844155,-53.02928564400442,-43.5872719418808,-60.388339657817745,-136.92751492762767,-9.464962981596766,-14.516705955242259,18.3258134200828,0.02617231936830417,-3.333498337844509,-4.984388639390156,0,0,6
11.409709772648533,54.045412730214416,38.904472434578565,60.709950372384924,141.71870337497745,7.943156525967502,14.718308855788262,17.73307361864482,-11.684743561278374,-51.343456265244804,-43.213040651866,-60.508193558196155,-136.17790204810612,-9.251275272759498,-14.448357125928524,17.766142860893083,0.2313051966774109,-2.761191358752595,-4.913469270759607,0,0,7
11.265479229266312,51.113550043437016,38.89215349494675,61.215935294621524,139.68675055355928,7.750261266977159,14.50154399014313,16.980104128208254,-11.441333548505693,-47.59572845887809,-42.19018100552346,-62.26405679399788,-134.55170798553206,-8.850010791889678,-14.27134553157281,17.028264716282333,0.29636362005041234,-2.46671398572045,-4.758135601124895,0,0,8
11.130893766765796,45.33528856796022,39.66240765980964,62.85960074577557,134.23945165971503,7.192208684061546,13.816888039712511,15.644449145416761,-11.268156663420957,-40.97638502757908,-40.42189002885823,-66.39255577089367,-129.244161442518,-7.986474556047192,-13.58596085682853,15.749847431587154,0.3272884906542153,-2.0387556356296175,-4.624753272140857,0,0,9
10.175992339662994,34.382154926267184,40.002935577303994,67.67024597500807,122.76586220651873,5.485136988751258,12.678546261935994,13.290458870415598,-9.831831060217098,-28.810940882132467,-37.91752233944721,-72.41641776923616,-119.89279024652534,-6.087697350407252,-12.629490058234909,13.389165009695779,0.04854812861635255,-2.2652010446104525,-4.295727934643528,0,0,10
8.444035658613473,20.061111548674116,37.4561327174327,72.86811945828724,108.48365027675568,2.3160243267620153,11.635409447234997,9.778461197213597,-7.607617523042881,-14.949608481752085,-35.51027174141396,-76.70493740485983,-106.94351116827897,-3.0008262692882703,-11.51574499120825,10.12238014838296,-0.03987887070324679,-2.3174368496874704,-3.812476198181298,0,0,11
7.469797965970364,9.2192197572182,36.38738559779569,72.09763834144772,95.95844857883368,-1.829144982010212,10.82557796215567,6.211805558988101,-6.339932705541222,-3.840659307879805,-35.28596285653733,-75.7462115840779,-93.26936679513013,1.1546914236677166,-10.440073696987206,6.751509999596393,-0.47603410305429117,-2.8688793143561724,-2.9214702597434057,0,0,12
8.497747412472807,4.0444040004222375,36.674125217398235,67.98532663353103,84.46283979425927,-6.273697927849858,9.534438150423096,3.2894629330733016,-7.39979621094055,1.7226601564445612,-33.44079000517358,-74.4250485001028,-80.69898870715649,5.462502089337633,-8.929411307993126,4.0307690143149335,-1.0924879359907766,-3.6349466493045317,-2.1123105702172382,0,0,13
